Word,Count
i,3
that,3
the,3
back,2
of,2
a,1
am,1
and,1
at,1
baratheon,1
be,1
beast,1
born,1
both,1
brings,1
but,1
common,1
couldn't,1
criston,1
dondarrion's,1
every,1
fact,1
first,1
from,1
gates,1
gods,1
golden,1
good,1
he,1
he's,1
head,1
i'm,1
is,1
it,1
just,1
keep's,1
lads,1
light,1
lord,1
my,1
no,1
other,1
passed,1
pleasant,1
princess,1
really,1
red,1
relieved,1
ride,1
saves,1
say,1
ser,1
son,1
spike,1
steward,1
than,1
through,1
time,1
told,1
trust,1
unhorsed,1
unspoiled,1
was,1
welcome,1
you,1
your,1
