Word,Count
the,69
you,41
of,34
to,34
i,31
and,29
be,23
a,22
it,18
my,18
will,17
all,14
is,13
it's,13
that,13
this,12
your,11
are,10
but,10
do,10
for,10
have,10
not,10
in,9
right,9
me,8
was,8
what,8
at,7
daemon,7
has,7
he,7
must,7
rhaenyra,7
throne,7
don't,6
going,6
i'm,6
out,6
as,5
been,5
brother,5
city,5
from,5
heir,5
him,5
his,5
iron,5
king,5
know,5
no,5
on,5
our,5
realm,5
son,5
they're,5
aegon,4
aemma,4
babe,4
bring,4
by,4
cut,4
dragons,4
end,4
good,4
great,4
here,4
its,4
more,4
name,4
or,4
promise,4
queen,4
since,4
targaryen,4
watch,4
well,4
when,4
would,4
an,3
believe,3
born,3
boy,3
could,3
crown,3
day,3
did,3
dream,3
fine,3
histories,3
just,3
lord,3
made,3
mellos,3
men,3
might,3
never,3
now,3
one,3
otto,3
said,3
say,3
scared,3
see,3
seven,3
so,3
tell,3
than,3
then,3
they,3
understand,3
us,3
valyria,3
we,3
with,3
world,3
yes,3
you're,3
aegon's,2
against,2
am,2
ambition,2
before,2
can,2
celebrate,2
certain,2
child,2
court,2
dead,2
doom,2
dragonstone,2
ever,2
family,2
first,2
foresaw,2
games,2
gods,2
her,2
i've,2
if,2
king's,2
last,2
late,2
laws,2
let,2
like,2
lists,2
living,2
look,2
man,2
master,2
named,2
new,2
news,2
own,2
passed,2
saw,2
something,2
take,2
there's,2
these,2
thing,2
time,2
tourney,2
upon,2
very,2
wanting,2
were,2
why,2
wife,2
winter,2
without,2
yet,2
absolute,1
achieve,1
across,1
address,1
agree,1
alicent,1
allies,1
alone,1
already,1
andals,1
answer,1
answered,1
any,1
anymore,1
anything,1
army,1
ask,1
auspicious,1
away,1
back,1
baelon,1
balerion,1
bath,1
beesbury,1
beggar,1
begin,1
begun,1
being,1
bells,1
belly,1
best,1
better,1
bettered,1
between,1
blackwater,1
blood,1
brought,1
called,1
capable,1
capture,1
carry,1
change,1
cherished,1
choose,1
chose,1
clearer,1
coin,1
cold,1
combatants,1
come,1
comes,1
command,1
commander,1
conditions,1
conqueror,1
conquest,1
consider,1
control,1
corlys,1
corpses,1
council,1
course,1
creature,1
crows,1
cupbearer,1
cups,1
daenys,1
damnable,1
dangerous,1
dare,1
dark,1
darkness,1
daughter,1
decided,1
decline,1
deeply,1
defended,1
delighted,1
design,1
destroy,1
destroyed,1
difficult,1
disappointed,1
distant,1
distracted,1
dragon's,1
dragonback,1
drove,1
dwells,1
else,1
energies,1
enforce,1
enough,1
equal,1
everything,1
exacting,1
expense,1
face,1
feast,1
fire,1
flaws,1
free,1
further,1
gave,1
gesture,1
given,1
gold,1
grace,1
grand,1
grandmother,1
greatness,1
group,1
gusting,1
half,1
hand,1
happening,1
happy,1
healing,1
hear,1
heard,1
heat,1
hells,1
hereby,1
hightower,1
himself,1
hold,1
honorable,1
hooves,1
hope,1
how,1
ice,1
idea,1
illusion,1
image,1
important,1
indulge,1
instead,1
invested,1
kind,1
kingdoms,1
kingsguard,1
knights,1
labors,1
lacks,1
lady,1
land,1
landing,1
laughing,1
leagues,1
leaves,1
lickspittles,1
long,1
looked,1
looking,1
love,1
loved,1
luck,1
maester's,1
maesters,1
maim,1
makes,1
many,1
matter,1
may,1
meant,1
memory,1
mind,1
most,1
mother,1
murder,1
need,1
night's,1
north,1
nothing,1
occupied,1
old,1
once,1
only,1
opinion,1
order,1
over,1
part,1
patience,1
people,1
performances,1
pirates,1
place,1
placed,1
please,1
power,1
prediction,1
prefer,1
present,1
princess,1
protect,1
protector,1
provoking,1
put,1
putting,1
quarrel,1
queen's,1
really,1
reemerge,1
rendering,1
rest,1
return,1
rhaenyra's,1
rhoynar,1
rich,1
riding,1
ringing,1
ripe,1
rise,1
roared,1
ruling,1
runestone,1
saddle,1
same,1
save,1
saying,1
seat,1
seated,1
secret,1
seen,1
sept,1
share,1
she,1
shields,1
shine,1
should,1
side,1
sit,1
sitting,1
small,1
solution,1
song,1
soon,1
sorry,1
sound,1
sounds,1
speak,1
spend,1
spendthrift,1
splintering,1
sport,1
stand,1
standards,1
stay,1
strong,1
succession,1
suffer,1
sure,1
survive,1
suspiciously,1
swords,1
tasks,1
tepid,1
terrible,1
thank,1
that's,1
their,1
them,1
think,1
those,1
thoughts,1
thrown,1
thundering,1
tis,1
tolled,1
tongue,1
tongues,1
traveled,1
trifled,1
trivial,1
tyrant,1
unite,1
up,1
visenya,1
viserys,1
wag,1
wasted,1
wear,1
wearing,1
week,1
weep,1
welcome,1
westeros,1
what's,1
whatever,1
where's,1
whole,1
whοres,1
winds,1
within,1
wringing,1
wrong,1
years,1
you've,1
