Word,Count
no,13
i,12
is,11
the,11
you,9
this,7
to,7
a,6
in,5
viserys,5
what,5
as,4
have,4
it,4
rhaenyra,4
she,4
that,4
we,4
and,3
do,3
don't,3
happening,3
i'm,3
if,3
will,3
already,2
an,2
are,2
babe,2
can,2
cradle,2
dragon,2
enough,2
has,2
her,2
how,2
i've,2
know,2
not,2
of,2
one,2
please,2
two,2
actual,1
after,1
ah,1
all,1
allow,1
am,1
any,1
bath,1
battlefield,1
be,1
bed,1
been,1
before,1
birth,1
born,1
brother,1
but,1
cause,1
celebrate,1
childbed,1
children,1
chose,1
cock,1
comfort,1
condition,1
crown,1
days,1
dead,1
dear,1
declared,1
discomfort,1
does,1
doing,1
dragon's,1
duty,1
egg,1
ended,1
even,1
face,1
failed,1
find,1
firstborn,1
five,1
flying,1
for,1
from,1
go,1
gods,1
grow,1
had,1
hatched,1
heir,1
hmm,1
it's,1
last,1
learn,1
lie,1
like,1
lip,1
lost,1
maesters,1
many,1
me,1
miserable,1
mothering,1
mourned,1
must,1
my,1
named,1
need,1
nothing,1
now,1
oh,1
only,1
our,1
place,1
possess,1
pregnancies,1
pregnancy,1
presently,1
provide,1
realm,1
reminded,1
royal,1
said,1
scared,1
serve,1
sister,1
slept,1
son,1
soon,1
sorry,1
spare,1
stiff,1
stillbirths,1
stink,1
surprised,1
take,1
term,1
that's,1
their,1
there,1
these,1
they,1
time,1
tourney,1
twice,1
understand,1
unpleasant,1
vhagar,1
visenya,1
want,1
warm,1
wearing,1
well,1
while,1
with,1
wombs,1
word,1
wouldn't,1
years,1
your,1
