Word,Count
the,25
a,9
it,9
of,8
your,8
grace,7
to,7
we,7
is,6
be,5
you,5
and,4
as,4
but,4
can,4
have,4
that,4
all,3
child,3
for,3
if,3
king,3
or,3
would,3
an,2
at,2
been,2
birth,2
by,2
either,2
gods,2
has,2
heir,2
her,2
infant,2
lord,2
must,2
my,2
name,2
not,2
queen,2
should,2
strong,2
under,2
with,2
aberration,1
accident,1
accurate,1
act,1
adversely,1
affect,1
again,1
are,1
attempts,1
babe,1
bad,1
becomes,1
blood,1
body,1
both,1
breech,1
cauterization,1
chance,1
charts,1
choice,1
chosen,1
circumstances,1
citadel,1
congratulations,1
corlys,1
could,1
course,1
court,1
cutting,1
daemon,1
design,1
destabilize,1
difficult,1
directly,1
driftmark,1
during,1
enough,1
estimations,1
failed,1
father,1
feel,1
fighting,1
first,1
forecast,1
free,1
further,1
given,1
grown,1
had,1
heavy,1
him,1
his,1
house,1
humors,1
i'm,1
impossible,1
in,1
incision,1
into,1
involves,1
keep,1
lady,1
leave,1
leech,1
let,1
lose,1
loss,1
maester,1
make,1
making,1
master,1
may,1
mere,1
might,1
milk,1
mind,1
moon,1
much,1
necessary,1
new,1
no,1
now,1
on,1
one,1
only,1
our,1
over,1
painful,1
place,1
poppy,1
poring,1
precedent,1
predicting,1
preparing,1
realm,1
remain,1
resulting,1
risking,1
sacrifice,1
save,1
she's,1
slightly,1
some,1
sometimes,1
son,1
stresses,1
successor,1
such,1
sеx,1
taught,1
technique,1
them,1
there,1
these,1
things,1
tides,1
tradition,1
tragedy,1
treatment,1
turn,1
uncontested,1
understand,1
velaryon,1
visit,1
way,1
we've,1
were,1
which,1
will,1
wise,1
without,1
woman,1
womb,1
