Word,Count
the,23
to,19
i,11
you,11
a,10
of,9
and,7
as,6
in,5
like,5
ser,5
that,5
father,4
her,4
his,4
it's,4
my,4
only,4
targaryen,4
all,3
are,3
but,3
for,3
great,3
he,3
house,3
jaehaerys,3
king,3
lord,3
on,3
over,3
succession,3
syt,3
was,3
were,3
what,3
about,2
across,2
cake,2
called,2
cole,2
could,2
council,2
criston,2
daor,2
descendant,2
down,2
dragons,2
dāranno,2
eldest,2
everyone,2
he's,2
heard,2
heir,2
hen,2
here,2
is,2
it,2
its,2
king's,2
knight,2
know,2
lo,2
long,2
lords,2
me,2
mother,2
narrow,2
never,2
not,2
old,2
princess,2
rhaenys,2
sea,2
see,2
sepār,2
she's,2
so,2
they,2
this,2
two,2
valyrian,2
viserys,2
with,2
your,2
000,1
10,1
101,1
60,1
adult,1
against,1
almost,1
an,1
any,1
arlio,1
at,1
attend,1
attendants,1
babe,1
battle,1
be,1
because,1
being,1
both,1
burned,1
by,1
came,1
can,1
century,1
choose,1
chose,1
claimed,1
claims,1
close,1
closer,1
cold,1
comfortable,1
condition,1
considered,1
course,1
cousin,1
daemon,1
dark,1
daughter,1
days,1
did,1
do,1
does,1
don't,1
done,1
dorne,1
doubt,1
dragon,1
dragonback,1
drakarys,1
drīvose,1
dynasty,1
dōrī,1
eat,1
else,1
enough,1
failing,1
finished,1
first,1
flee,1
fleet,1
fly,1
flying,1
focused,1
fought,1
fourteen,1
funeral,1
funny,1
furious,1
fսck,1
gaomā,1
gets,1
glory,1
go,1
gods,1
going,1
good,1
gō,1
had,1
harrenhal,1
harrold,1
has,1
haven't,1
health,1
height,1
hmm,1
hope,1
how,1
husband,1
i'd,1
i've,1
imastō,1
inherit,1
instead,1
iron,1
issa,1
itself,1
jaelinna,1
jest,1
journey,1
just,1
jēdunna,1
kepa,1
kepus,1
kesan,1
kingsguard,1
kirimvī,1
knew,1
knighthood,1
kōttion,1
large,1
leaving,1
led,1
look,1
luck,1
made,1
male,1
man,1
married,1
martell,1
men,1
mmm,1
mors,1
mother's,1
mystery,1
nearly,1
nicely,1
no,1
now,1
nymeria,1
off,1
our,1
own,1
paghyro,1
peace,1
pendan,1
people,1
position,1
power,1
prevent,1
prince,1
promised,1
prosperity,1
pursuers,1
pāleknot,1
quite,1
qurdalbri,1
rather,1
read,1
recall,1
reigned,1
relieved,1
remember,1
rhoynar,1
rhēdos,1
ride,1
right,1
running,1
saddle,1
say,1
says,1
send,1
septa,1
serve,1
she,1
ships,1
show,1
since,1
sister,1
skoro,1
sleep,1
someone,1
something,1
son,1
sons,1
soon,1
sparo,1
spoken,1
squire,1
stand,1
statilūks,1
steel,1
stokeworth's,1
stood,1
strength,1
sunspear,1
suppose,1
surrounded,1
sȳndrāzmā,1
targaryens,1
tarly,1
tear,1
ten,1
than,1
that's,1
their,1
them,1
they're,1
thing,1
those,1
thousand,1
throne,1
tolijī,1
too,1
took,1
tragedy,1
truly,1
truth,1
try,1
trēsy,1
uncle,1
under,1
us,1
valonqri,1
valonqro,1
visiting,1
vēzo,1
want,1
wanted,1
war,1
we're,1
well,1
when,1
where,1
while,1
wins,1
wish,1
without,1
woman,1
wonders,1
word,1
world,1
worry,1
would,1
year,1
years,1
yoke,1
you're,1
young,1
younger,1
zȳho,1
ñuha,1
ñurho,1
āmastā,1
