Word,Count
i,11
the,8
lord,5
not,5
to,5
you,5
a,4
arraks,4
i'm,4
my,3
queen,3
am,2
be,2
borros,2
daor,2
from,2
grandsire,2
it,2
message,2
mother,2
so,2
your,2
aderī,1
already,1
answer,1
as,1
before,1
betrothed,1
bring,1
brought,1
came,1
can't,1
choose,1
die,1
dohaerās,1
dokimarvose,1
don't,1
driftmark,1
even,1
ever,1
everything,1
fight,1
free,1
get,1
going,1
grace,1
greatest,1
greensick,1
harbor,1
he,1
heir,1
his,1
i'll,1
is,1
isn't,1
just,1
laehossa,1
leaves,1
let,1
like,1
lived,1
lucerys,1
lykirī,1
marry,1
messenger,1
no,1
of,1
on,1
passed,1
perfect,1
prince,1
pālēs,1
ruin,1
ryptēs,1
rȳbās,1
sailor,1
sea,1
ser,1
shall,1
ship,1
should've,1
snake,1
sorry,1
swear,1
sōvēs,1
take,1
tides,1
told,1
us,1
vaemond,1
velaryon,1
viserys,1
want,1
warrior,1
was,1
whether,1
who,1
will,1
yes,1
yne,1
ynot,1
you'd,1
