Word,Count
to,48
the,46
and,27
you,26
of,21
i,17
my,16
we,13
is,12
as,11
it,11
me,11
will,11
are,10
lord,10
war,9
a,8
for,7
have,7
not,7
baratheon,6
be,6
but,6
get,6
he,6
no,6
our,6
his,5
if,5
know,5
realm,5
support,5
them,5
your,5
arryn,4
in,4
iron,4
king,4
must,4
now,4
off,4
stark,4
that,4
throne,4
viserys,4
was,4
well,4
what,4
with,4
would,4
aegon,3
all,3
an,3
been,3
borros,3
closer,3
corlys,3
crowned,3
do,3
dragons,3
end,3
first,3
from,3
heir,3
him,3
hope,3
north,3
on,3
ow,3
prince,3
queen,3
rhaenys,3
seven,3
storm's,3
swore,3
take,3
than,3
thank,3
they,3
when,3
against,2
ah,2
allies,2
answer,2
any,2
before,2
blood,2
both,2
by,2
come,2
coming,2
cost,2
cregan,2
daemon,2
declare,2
demanded,2
did,2
does,2
don't,2
duty,2
eyrie,2
father,2
father's,2
find,2
fly,2
fսcking,2
go,2
gods,2
gone,2
good,2
greens,2
hand,2
has,2
i'm,2
jacaerys,2
king's,2
kingdoms,2
lady,2
landing,2
lorent,2
luke,2
men,2
morrow,2
mother,2
named,2
need,2
news,2
oaths,2
out,2
princess,2
promise,2
said,2
same,2
sea,2
see,2
ser,2
should,2
standing,2
their,2
then,2
there,2
treat,2
us,2
very,2
who,2
winterfell,2
wish,2
without,2
after,1
again,1
age,1
ago,1
alicent,1
also,1
am,1
ambitions,1
angry,1
anything,1
ash,1
attention,1
babe,1
bannermen,1
bartimos,1
because,1
beyond,1
bone,1
boy,1
breaking,1
brings,1
burned,1
came,1
can,1
cast,1
caution,1
choose,1
chooses,1
chose,1
claim,1
claimed,1
clear,1
cloak,1
command,1
common,1
concerns,1
conqueror's,1
convinced,1
corlys's,1
could,1
cousin,1
dare,1
darkness,1
dead,1
defend,1
destiny,1
done,1
dragon,1
dream,1
driftmark,1
duties,1
earn,1
easily,1
enemies,1
enemy,1
enough,1
ensuring,1
errand,1
eternally,1
everything,1
excite,1
expect,1
eyes,1
fall,1
fast,1
fickle,1
fighting,1
fire,1
fleet,1
flew,1
flight,1
four,1
frightened,1
fսck,1
golden,1
grandmother,1
grandsire,1
grover,1
had,1
hale,1
happening,1
head,1
headlong,1
health,1
healthy,1
helped,1
here,1
hightower's,1
histories,1
hold,1
honor,1
honored,1
host,1
house,1
houses,1
how,1
husband's,1
ice,1
inheritance,1
interest,1
into,1
it's,1
its,1
jace,1
jeyne,1
just,1
kin,1
kingdom,1
lannisters,1
like,1
long,1
looked,1
lords,1
lucerys,1
made,1
madness,1
make,1
man,1
masses,1
matter,1
mean,1
messengers,1
might,1
mine,1
more,1
mother's,1
much,1
narrow,1
naught,1
never,1
nightly,1
none,1
nothing,1
oath,1
often,1
or,1
other,1
otto,1
over,1
own,1
part,1
passed,1
peace,1
perhaps,1
personal,1
plot,1
port,1
position,1
pray,1
prayed,1
prepare,1
prince's,1
promises,1
proud,1
puts,1
putting,1
reaches,1
ready,1
receive,1
recovery,1
relief,1
remains,1
remind,1
reminded,1
repudiated,1
return,1
rhaena,1
rhaenyra,1
ride,1
room,1
rule,1
secure,1
send,1
serve,1
shall,1
share,1
shared,1
short,1
sit,1
snake's,1
some,1
song,1
south,1
spike,1
spoke,1
strength,1
stroke,1
strong,1
succession,1
successor,1
surround,1
swayed,1
swear,1
sweet,1
swords,1
taking,1
targaryens,1
ten,1
there's,1
these,1
this,1
time,1
told,1
tooth,1
touch,1
traitor,1
traitors,1
true,1
truth,1
tully,1
turn,1
under,1
understand,1
united,1
unity,1
vale,1
valyrian,1
velaryon,1
want,1
war's,1
warm,1
warriors,1
wasn't,1
way,1
welcome,1
were,1
west,1
whatever,1
which,1
yes,1
yet,1
