Word,Count
no,12
you,5
to,4
vhagar,4
a,3
as,3
i,3
my,3
eye,2
it,2
me,2
serve,2
will,2
would,2
your,2
about,1
are,1
at,1
bastard,1
be,1
blind,1
brother's,1
challenge,1
cost,1
could,1
craven,1
daor,1
did,1
dohaerās,1
drakarys,1
enkā,1
fight,1
fly,1
for,1
gift,1
give,1
gēlȳni,1
jemēla,1
just,1
little,1
lord,1
make,1
mine,1
mittys,1
mother,1
not,1
of,1
one,1
or,1
out,1
ozdakōs,1
payment,1
plan,1
put,1
really,1
realm,1
steal,1
strong,1
take,1
taobus,1
that,1
the,1
then,1
think,1
throne,1
traitor,1
trying,1
wait,1
want,1
well,1
