Word,Count
the,6
my,5
not,5
of,4
an,3
king,3
to,3
your,3
and,2
as,2
at,2
boy,2
came,2
dragon,2
envoy,2
i,2
is,2
it,2
mother,2
that,2
which,2
with,2
you,2
a,1
aegon,1
against,1
back,1
banners,1
beneath,1
bids,1
bloodshed,1
bloody,1
can,1
come,1
daughters,1
day,1
do,1
does,1
dog,1
earlier,1
empty,1
end,1
father's,1
foes,1
for,1
from,1
go,1
hall,1
hands,1
have,1
her,1
here,1
his,1
home,1
house,1
i'll,1
if,1
in,1
know,1
least,1
lord,1
lucerys,1
maester,1
marriage,1
me,1
message,1
mother's,1
need,1
now,1
oath,1
offer,1
one,1
or,1
pact,1
prince,1
pup,1
queen,1
received,1
remind,1
roof,1
rules,1
seem,1
set,1
she,1
so,1
some,1
storm's,1
swords,1
take,1
tell,1
this,1
up,1
wed,1
what's,1
where's,1
whistle,1
who,1
will,1
yet,1
