Word,Count
the,14
you,12
i,10
to,10
and,8
is,8
your,6
a,5
as,5
for,5
my,5
in,4
this,4
aegon,3
at,3
be,3
her,3
his,3
king,3
needed,3
not,3
that,3
war,3
abandoned,2
are,2
been,2
before,2
both,2
children,2
corlys,2
crowned,2
dead,2
dragonstone,2
has,2
he,2
it,2
long,2
made,2
meleys,2
more,2
myself,2
of,2
only,2
over,2
realm,2
rhaenyra,2
see,2
so,2
us,2
we,2
adventure,1
also,1
always,1
baela,1
begin,1
boys'll,1
brother,1
bury,1
but,1
casts,1
claim,1
claimants,1
coming,1
could,1
cousin,1
daemon,1
day,1
decides,1
demonstrated,1
denounced,1
did,1
dragonpit,1
every,1
family,1
father,1
fled,1
fleet,1
fought,1
from,1
girl,1
greens,1
grieve,1
gullet,1
haste,1
head,1
heart,1
high,1
him,1
holding,1
house,1
husband,1
husband's,1
illegitimate,1
into,1
jace,1
joff,1
just,1
kind,1
lady,1
laenor's,1
leave,1
like,1
lord,1
loss,1
lost,1
loyalty,1
luke,1
man,1
masses,1
me,1
mine,1
most,1
mother,1
needs,1
on,1
once,1
one,1
our,1
out,1
painted,1
past,1
patrol,1
perhaps,1
plunge,1
possessed,1
preparations,1
present,1
prisoner,1
quarters,1
queen,1
refused,1
restraint,1
rhaena,1
rhaenyra's,1
rightful,1
round,1
rushed,1
safe,1
sail,1
sails,1
say,1
sea,1
seat,1
septon,1
shadow,1
shall,1
she,1
should,1
sons,1
standing,1
stolen,1
stood,1
stranger,1
successor,1
sure,1
table,1
take,1
their,1
there,1
they,1
those,1
throne,1
together,1
took,1
treachery,1
two,1
urges,1
velaryon,1
viserys,1
warning,1
was,1
way,1
when,1
where,1
while,1
who's,1
with,1
witnessed,1
would,1
yoke,1
