Word,Count
you,14
i,12
the,9
to,9
your,9
it,6
and,5
grace,5
if,5
a,4
for,4
good,4
know,4
that,4
what,4
do,3
father,3
have,3
is,3
of,3
she,3
will,3
wish,3
with,3
be,2
criston,2
does,2
her,2
in,2
kind,2
me,2
mine,2
mother,2
not,2
own,2
ser,2
way,2
when,2
about,1
after,1
an,1
another,1
as,1
asked,1
at,1
because,1
believe,1
brought,1
built,1
can,1
cannot,1
chose,1
close,1
comfort,1
company,1
council,1
day,1
did,1
easy,1
effort,1
either,1
enjoy,1
feel,1
find,1
foolish,1
girls,1
give,1
gods,1
hand,1
he,1
heir,1
here,1
herself,1
him,1
his,1
i'm,1
invited,1
it's,1
kings,1
kneel,1
lady,1
language,1
look,1
lords,1
lost,1
loves,1
make,1
match,1
matters,1
mean,1
mend,1
might,1
mind,1
must,1
my,1
no,1
only,1
open,1
particular,1
perhaps,1
please,1
queen,1
quiet,1
remarry,1
rhaenyra,1
sept,1
small,1
something,1
sounds,1
stonemasons,1
strong,1
subjects,1
such,1
sure,1
take,1
talk,1
them,1
then,1
think,1
this,1
thought,1
time,1
truly,1
try,1
valyria,1
very,1
went,1
were,1
westeros,1
whatever,1
wondrous,1
worry,1
would,1
you've,1
