Word,Count
the,11
you,7
a,6
your,6
of,5
to,5
and,4
grace,4
she,4
an,3
for,3
i,3
in,3
is,3
would,3
all,2
ally,2
as,2
claim,2
corlys,2
don't,2
has,2
him,2
it,2
like,2
lord,2
not,2
on,2
realm,2
sea,2
ships,2
should,2
snake,2
want,2
agree,1
also,1
at,1
be,1
better,1
blood,1
but,1
calculated,1
can,1
comes,1
consider,1
daughter,1
direct,1
does,1
driftmark,1
eldest,1
enemy,1
even,1
ever,1
fair,1
fear,1
find,1
fix,1
from,1
give,1
half,1
have,1
having,1
he,1
highest,1
his,1
holds,1
house,1
if,1
iron,1
king,1
laena,1
line,1
long,1
look,1
made,1
makes,1
man,1
marriage,1
master,1
mature,1
men,1
mislike,1
my,1
nearly,1
no,1
nothing,1
obligation,1
off,1
one,1
opinion,1
ourselves,1
permanently,1
play,1
position,1
precipice,1
proud,1
put,1
reach,1
realm's,1
sate,1
satisfy,1
seat,1
short,1
side,1
sire,1
sit,1
stepstones,1
stock,1
strongly,1
take,1
targaryen,1
than,1
that,1
that's,1
things,1
those,1
throne,1
truly,1
unencumbered,1
unimpeachable,1
up,1
upon,1
valyrian,1
velaryon,1
war,1
we,1
wealthiest,1
wed,1
well,1
what's,1
will,1
