Word,Count
the,41
to,18
i,15
and,13
a,9
my,9
is,8
has,7
have,7
it,7
our,7
been,6
in,6
of,6
you,6
house,5
not,5
with,5
your,5
are,4
for,4
grace,4
realm,4
stepstones,4
what,4
who,4
an,3
be,3
but,3
can,3
crabfeeder,3
from,3
into,3
king's,3
now,3
out,3
own,3
targaryen,3
that,3
want,3
about,2
allowed,2
at,2
back,2
brother,2
by,2
cities,2
daemon,2
dragonstone,2
even,2
fear,2
free,2
had,2
its,2
king,2
made,2
men,2
might,2
must,2
on,2
over,2
passed,2
power,2
seat,2
seize,2
shipping,2
ships,2
so,2
strength,2
this,2
throne,2
unlike,2
us,2
valyrian,2
was,2
we,2
will,2
wish,2
without,2
worth,2
yet,2
absurdity,1
according,1
accumulate,1
ahead,1
always,1
among,1
ancient,1
any,1
apologize,1
army,1
around,1
as,1
ascended,1
await,1
backed,1
balls,1
banner,1
beggared,1
behind,1
blood,1
both,1
bound,1
built,1
burn,1
business,1
centuries,1
challenge,1
chance,1
claimed,1
cloaks,1
cloth,1
colony,1
coming,1
compensation,1
conflagration,1
council,1
court,1
crippled,1
critical,1
crown,1
crown's,1
cut,1
daughter,1
days,1
denied,1
desire,1
disinherited,1
dither,1
does,1
don't,1
done,1
doubt,1
dragonlords,1
dragons,1
driftmark,1
driftwood,1
either,1
elude,1
enemies,1
entities,1
established,1
every,1
existence,1
eyes,1
failures,1
fall,1
families,1
feasts,1
first,1
fixed,1
fleet,1
flying,1
force,1
foreign,1
fortify,1
four,1
girl,1
given,1
gold,1
great,1
greatest,1
grit,1
grown,1
half,1
having,1
he's,1
heard,1
heir,1
here,1
high,1
him,1
himself,1
his,1
history,1
house's,1
houses,1
i've,1
idles,1
if,1
intent,1
iron,1
join,1
keep,1
knew,1
know,1
lady,1
laena,1
lane,1
lanes,1
last,1
least,1
lord,1
lost,1
luck,1
make,1
me,1
mine,1
more,1
most,1
mysaria,1
named,1
navy,1
never,1
no,1
none,1
offense,1
often,1
old,1
one,1
open,1
or,1
origins,1
other,1
petitioning,1
pirates,1
plainly,1
plan,1
powerful,1
presently,1
princess,1
protest,1
prove,1
queen,1
reach,1
realm's,1
reason,1
red,1
sail,1
same,1
say,1
scratch,1
sea,1
second,1
see,1
seized,1
send,1
show,1
sit,1
small,1
some,1
sons,1
speak,1
squatted,1
storm,1
strongest,1
surviving,1
targaryens,1
tenor,1
territory,1
texts,1
than,1
there,1
these,1
those,1
thought,1
through,1
today,1
too,1
tourneys,1
troubles,1
two,1
unite,1
valyria,1
velaryon,1
velaryon's,1
waiting,1
wanted,1
war,1
watching,1
way,1
we're,1
we've,1
weakened,1
wed,1
went,1
were,1
westeros,1
when,1
while,1
within,1
world,1
year,1
you've,1
