Word,Count
the,7
i,6
my,6
to,6
is,5
me,5
it,4
king,4
you,4
brother,3
for,3
of,3
a,2
are,2
as,2
be,2
can,2
daor,2
did,2
dragonstone,2
good,2
not,2
some,2
traditions,2
was,2
wasn't,2
we,2
well,2
will,2
with,2
ah,1
and,1
apologies,1
aware,1
being,1
brother's,1
bībot,1
call,1
children,1
come,1
commander,1
corlys,1
couldn't,1
crabs,1
creatures,1
crispin,1
derēptan,1
does,1
don't,1
driftmark,1
egg,1
feeding,1
from,1
had,1
happily,1
heir,1
here,1
him,1
his,1
house,1
i'm,1
irritating,1
iā,1
iōrō,1
jaelan,1
keeping,1
know,1
konir,1
lady,1
liberated,1
lord,1
love,1
low,1
loyal,1
lī,1
made,1
make,1
mazumbillo,1
morrow,1
myrish,1
mysaria,1
māzīlarē,1
neither,1
never,1
on,1
or,1
other,1
otto,1
our,1
perhaps,1
prince,1
quite,1
reason,1
recall,1
remind,1
rūho,1
safe,1
sailors,1
same,1
secure,1
see,1
ser,1
simply,1
speak,1
standing,1
strongest,1
such,1
swear,1
syt,1
sīlāvose,1
that,1
their,1
there,1
they,1
titles,1
trait,1
true,1
tubī,1
very,1
vulē,1
wed,1
welcome,1
westerosi,1
what,1
when,1
where,1
wife,1
wish,1
wonderful,1
would,1
yes,1
you're,1
you've,1
zaldrīzome,1
ñuho,1
