Word,Count
of,11
the,10
ser,8
a,4
and,4
desmond,4
to,4
fine,3
grace,3
son,3
your,3
at,2
be,2
caron,2
hand,2
lord,2
mallister,2
rymun,2
was,2
all,1
blackhaven,1
both,1
brought,1
candidates,1
cider,1
cole,1
complement,1
court,1
criston,1
eight,1
fair,1
forward,1
full,1
hall,1
has,1
have,1
he,1
help,1
his,1
i've,1
idea,1
in,1
invited,1
its,1
justice,1
king's,1
kingsguard,1
kingswood,1
knight,1
knighted,1
knights,1
landing,1
last,1
lists,1
lords,1
lymond,1
melee,1
mounted,1
must,1
my,1
number,1
on,1
passed,1
poacher,1
princess,1
proved,1
recently,1
restored,1
royce,1
seagard,1
seven,1
soon,1
steady,1
step,1
steward,1
strong,1
ten,1
three,1
through,1
tourney,1
traveling,1
trials,1
twenty,1
way,1
while,1
winner,1
with,1
without,1
would,1
