Word,Count
the,5
you,5
i,3
it,3
a,2
at,2
do,2
is,2
know,2
that,2
they,2
to,2
vhagar,2
were,2
where,2
would,2
14,1
and,1
as,1
balerion's,1
be,1
bed,1
bit,1
black,1
blood,1
but,1
children,1
dragonpit,1
dread,1
flying,1
for,1
give,1
grace,1
great,1
have,1
hearing,1
her,1
honor,1
houses,1
in,1
join,1
large,1
last,1
like,1
line,1
lives,1
many,1
might,1
nests,1
now,1
of,1
old,1
our,1
pure,1
realm,1
report,1
rider,1
royal,1
sad,1
say,1
she,1
so,1
somewhere,1
song,1
spicetown,1
still,1
strengthen,1
thing,1
times,1
too,1
turned,1
until,1
valyria,1
valyrian,1
was,1
we,1
what,1
workers,1
wouldn't,1
your,1
