Word,Count
i,9
to,8
you,6
the,4
with,4
be,3
child,3
that,3
your,3
a,2
and,2
been,2
but,2
can,2
have,2
his,2
in,2
king,2
no,2
or,2
would,2
afford,1
ago,1
ancestral,1
announced,1
are,1
as,1
beginning,1
by,1
came,1
cannot,1
care,1
childbirth,1
claims,1
come,1
common,1
count,1
daemon,1
decides,1
didn't,1
do,1
ensured,1
fear,1
games,1
gold,1
harm,1
he,1
he's,1
head,1
homeland,1
into,1
liberated,1
living,1
long,1
longer,1
made,1
me,1
men,1
might,1
more,1
most,1
my,1
never,1
not,1
of,1
on,1
one,1
play,1
power,1
prince's,1
property,1
protect,1
put,1
recall,1
reclaim,1
seat,1
service,1
sold,1
spent,1
spike,1
station,1
stupid,1
swore,1
taken,1
targaryen,1
terror,1
than,1
they,1
threatened,1
times,1
until,1
wanting,1
was,1
we,1
wed,1
were,1
what,1
whοre,1
wife,1
will,1
years,1
