Word,Count
the,50
i,41
to,38
you,25
a,22
of,20
is,17
and,16
my,12
what,11
me,10
that,10
your,10
it,9
lord,9
do,8
are,7
he,7
she,7
will,7
at,6
corlys,6
have,6
not,6
our,6
was,6
for,5
in,5
never,5
only,5
rhaenyra,5
say,5
very,5
we,5
well,5
would,5
but,4
face,4
laena,4
mother,4
much,4
must,4
no,4
time,4
with,4
an,3
as,3
be,3
could,3
council,3
dare,3
daughter,3
dragonstone,3
has,3
heir,3
her,3
how,3
i'm,3
kingsguard,3
know,3
lady,3
might,3
new,3
passed,3
than,3
their,3
them,3
think,3
this,3
wish,3
without,3
acted,2
admit,2
again,2
alicent,2
am,2
been,2
before,2
better,2
built,2
by,2
come,2
commander,2
daemon,2
days,2
demonstrate,2
died,2
don't,2
dragons,2
even,2
father,2
fear,2
find,2
free,2
grace,2
had,2
him,2
his,2
houses,2
if,2
intend,2
its,2
kind,2
king,2
knight,2
large,2
line,2
make,2
marriage,2
may,2
mine,2
more,2
oh,2
old,2
on,2
one,2
otto,2
over,2
princess,2
realm's,2
remarry,2
replace,2
rhaenys,2
see,2
ships,2
should,2
since,2
so,2
some,2
speak,2
stepstones,2
such,2
take,2
tell,2
today,2
too,2
uh,2
understand,2
us,2
valyria,2
velaryon,2
wants,2
war,2
who,2
why,2
world,2
12,1
15,1
about,1
absence,1
across,1
action,1
advice,1
aemma,1
after,1
aftermath,1
ahead,1
alike,1
all,1
always,1
anogrion,1
another,1
answer,1
approach,1
archmaesters,1
asked,1
aspirant,1
assemble,1
assets,1
assure,1
audience,1
avoid,1
back,1
balerion,1
become,1
begin,1
behind,1
believe,1
between,1
black,1
blackwater,1
blind,1
bloodmages,1
bond,1
both,1
brother,1
capital,1
cause,1
challenge,1
choose,1
cities,1
closest,1
coast,1
combine,1
common,1
corlys's,1
could've,1
course,1
cousin,1
craft,1
crown's,1
dear,1
decided,1
defended,1
depends,1
detachment,1
did,1
difficult,1
discuss,1
disobeyed,1
does,1
doesn't,1
doing,1
drag,1
dragonkeepers,1
dragonlords,1
dread,1
drōmon,1
earlier,1
easily,1
end,1
ended,1
enough,1
ensure,1
envious,1
envoys,1
estranged,1
ever,1
expected,1
fall,1
favorite,1
felt,1
few,1
fine,1
fled,1
fleet,1
forget,1
freehold,1
from,1
gaze,1
gesture,1
get,1
give,1
given,1
glad,1
glory,1
go,1
good,1
great,1
grown,1
half,1
hand,1
hasn't,1
haven't,1
he'll,1
head,1
heal,1
hector,1
height,1
held,1
hells,1
here,1
highest,1
hightower,1
himself,1
histories,1
home,1
hope,1
hot,1
i've,1
ill,1
imagine,1
important,1
incursion,1
into,1
isn't,1
just,1
justice,1
keep,1
killed,1
king's,1
known,1
kōttas,1
landing,1
laodikson,1
last,1
learn,1
leave,1
like,1
lived,1
lonely,1
looking,1
lords,1
lost,1
loved,1
lyonel,1
made,1
magic,1
marry,1
marrying,1
matter,1
matters,1
meet,1
memory,1
men,1
mention,1
mind,1
minds,1
morrow,1
most,1
mother's,1
myself,1
name,1
narrow,1
navy,1
need,1
nobility,1
now,1
obligation,1
offered,1
opinion,1
or,1
own,1
paint,1
pay,1
peace,1
pentos,1
perhaps,1
personal,1
plans,1
please,1
pore,1
portrait,1
posting,1
power,1
prepared,1
presently,1
propagate,1
proposal,1
propose,1
proposed,1
protect,1
provide,1
provides,1
provoke,1
put,1
queen,1
quickly,1
ran,1
rather,1
read,1
ready,1
realize,1
realm,1
recover,1
red,1
regret,1
reign,1
reign's,1
reject,1
royal,1
ryam,1
rȳ,1
sea,1
seas,1
seems,1
seen,1
send,1
sent,1
ser,1
settled,1
seven,1
short,1
simple,1
skorkydoso,1
small,1
sometimes,1
somewhere,1
sorry,1
source,1
span,1
specific,1
spike,1
spring's,1
staring,1
start,1
stonemasons,1
strength,1
strong,1
strongest,1
structures,1
struggled,1
talks,1
tempers,1
tender,1
there,1
these,1
thought,1
thoughts,1
thousand,1
times,1
told,1
tōmēpsa,1
unavoidable,1
understands,1
unencumbered,1
unfettered,1
until,1
urging,1
urneroti,1
value,1
valyrian,1
velaryon's,1
volantis,1
volcanic,1
volcano,1
vulnerable,1
wall,1
wanted,1
warmth,1
way,1
welcome,1
went,1
were,1
when,1
where,1
whether,1
whom,1
whomever,1
wife,1
wishes,1
withhold,1
woman,1
word,1
words,1
worked,1
wouldn't,1
wound,1
year,1
yes,1
you're,1
young,1
zaldrīzo,1
