Word,Count
princess,9
to,9
i,8
the,5
a,4
my,4
you,4
be,3
have,3
that,3
your,3
at,2
but,2
camp,2
enough,2
father,2
grace,2
had,2
his,2
kingsguard,2
me,2
now,2
return,2
sure,2
was,2
we,2
when,2
whoa,2
absence,1
adventurous,1
ago,1
all,1
an,1
and,1
any,1
as,1
back,1
before,1
betrothal,1
blackhaven,1
book,1
born,1
by,1
call,1
cannot,1
certain,1
choice,1
cole,1
common,1
could've,1
day,1
do,1
down,1
ever,1
final,1
for,1
formal,1
girl,1
gladly,1
happened,1
hardly,1
held,1
high,1
highest,1
him,1
honor,1
i'd,1
in,1
into,1
is,1
it,1
kill,1
knight,1
known,1
long,1
make,1
many,1
married,1
must,1
name,1
named,1
never,1
no,1
not,1
of,1
one,1
owe,1
plea,1
positions,1
power,1
present,1
realm,1
served,1
should,1
slow,1
so,1
spoke,1
station,1
there,1
they'll,1
toothless,1
trade,1
vows,1
wait,1
want,1
what,1
white,1
wished,1
with,1
worried,1
would,1
write,1
youth,1
