Word,Count
the,20
your,11
i,9
of,9
grace,7
in,7
to,7
is,5
you,5
as,4
been,4
course,4
have,4
if,4
a,3
and,3
day,3
for,3
had,3
it's,3
my,3
one,3
rock,3
take,3
this,3
aegon,2
assumed,2
be,2
but,2
casterly,2
do,2
don't,2
dragons,2
her,2
kingswood,2
name,2
not,2
princess,2
rhaenyra,2
were,2
wife,2
would,2
across,1
against,1
anything,1
at,1
best,1
blessed,1
build,1
by,1
clear,1
compensated,1
could,1
crown,1
daughter,1
dragonpit,1
dull,1
ever,1
feel,1
fine,1
finest,1
firstborn,1
forged,1
found,1
frightfully,1
gallery,1
gods,1
golden,1
grand,1
ground,1
hart,1
he's,1
height,1
heir,1
herself,1
hightower,1
him,1
home,1
honeyed,1
honor,1
honored,1
hope,1
house,1
hunting,1
i'd,1
introduced,1
it,1
jason,1
kill,1
killing,1
king,1
lady,1
lannisport,1
lannister,1
lord,1
loss,1
love,1
made,1
many,1
may,1
means,1
might,1
mmm,1
more,1
near,1
north,1
nothing,1
offer,1
offered,1
oldtown,1
on,1
or,1
own,1
perfect,1
place,1
prince,1
properly,1
provide,1
queen,1
rebellion,1
resources,1
said,1
sea,1
seat,1
second,1
see,1
seven,1
shame,1
side,1
someone,1
son,1
sort,1
splendid,1
spot,1
stand,1
station,1
still,1
strength,1
stroke,1
sunset,1
taller,1
taste,1
than,1
that,1
them,1
themselves,1
there,1
there's,1
think,1
thrice,1
tower,1
tyland,1
us,1
wall,1
was,1
we've,1
well,1
what,1
white,1
wine,1
without,1
wonder,1
you'll,1
young,1
