Word,Count
the,15
is,4
of,4
grace,3
have,3
in,3
your,3
has,2
his,2
men,2
now,2
stepstones,2
to,2
urgent,2
a,1
amongst,1
and,1
are,1
attrition,1
been,1
begun,1
bloodstone,1
bloodstone's,1
blunted,1
bring,1
but,1
can,1
caves,1
command,1
cover,1
crabfeeder,1
crown,1
daemon,1
dark,1
dissent,1
dragons,1
driven,1
droves,1
dug,1
effort,1
even,1
ever,1
file,1
fleet,1
for,1
forces,1
from,1
hard,1
heavy,1
i,1
if,1
intervene,1
it,1
losing,1
matter,1
mercenaries,1
news,1
on,1
our,1
question,1
rank,1
regrettably,1
sabotage,1
see,1
seeds,1
sellswords,1
sheltering,1
siege,1
sown,1
suffered,1
that,1
their,1
they,1
threat,1
time,1
triarchy,1
under,1
velaryon,1
were,1
while,1
with,1
withdrawing,1
