Word,Count
the,5
again,2
dracarys,2
hold,2
of,2
them,2
a,1
an,1
and,1
archers,1
at,1
bait,1
beyond,1
but,1
caves,1
chokepoint,1
complaints,1
council,1
crab,1
crabfeeder,1
created,1
daemon,1
dragonback,1
dunes,1
father,1
fighting,1
flesh,1
foot,1
give,1
ground,1
has,1
have,1
he,1
here,1
high,1
his,1
in,1
is,1
it's,1
just,1
least,1
master,1
must,1
offering,1
on,1
one,1
other,1
played,1
pointless,1
positions,1
retreat,1
role,1
soldiers,1
strafed,1
than,1
these,1
they,1
this,1
to,1
uncle,1
war,1
we,1
we've,1
what,1
whoo,1
within,1
you,1
