Word,Count
the,31
is,11
to,11
you,11
of,10
it,9
and,8
your,8
grace,7
a,6
aegon,6
be,6
king,6
his,5
that,5
but,4
for,4
he,4
if,4
were,4
would,4
do,3
not,3
on,3
one,3
realm,3
so,3
son,3
this,3
as,2
been,2
born,2
day,2
did,2
gods,2
hart,2
has,2
he's,2
heir,2
him,2
how,2
huntsman,2
i,2
long,2
make,2
men,2
more,2
name,2
never,2
now,2
prince,2
rhaenyra,2
rhaenyra's,2
sent,2
their,2
throne,2
viserys,2
was,2
what,2
white,2
with,2
wouldn't,2
you're,2
15,1
aegon's,1
after,1
again,1
ahead,1
all,1
another,1
apart,1
appear,1
ascend,1
assail,1
before,1
being,1
betroth,1
beyond,1
bore,1
brother,1
casterly,1
cease,1
celebration,1
certain,1
choice,1
clear,1
clearly,1
closer,1
comfortable,1
command,1
cornered,1
crown,1
daemon,1
days,1
deny,1
does,1
don't,1
doubt,1
eating,1
end,1
ended,1
endless,1
enjoy,1
excuse,1
fared,1
father,1
favor,1
fete,1
find,1
firstborn,1
future,1
grace's,1
grandson,1
guide,1
hand,1
hands,1
have,1
he'll,1
himself,1
home,1
hounds,1
hunt,1
i've,1
ignore,1
insisted,1
intervene,1
it's,1
itself,1
jaehaerys,1
jason's,1
kingdoms,1
kingswood,1
know,1
laws,1
leave,1
let,1
like,1
lord,1
matter,1
may,1
me,1
might,1
morning,1
must,1
mustn't,1
my,1
namesake,1
no,1
only,1
out,1
over,1
own,1
perhaps,1
please,1
porridge,1
portent,1
portents,1
pray,1
prize,1
proposal,1
proposals,1
reach,1
reason,1
regal,1
report,1
road,1
robbed,1
rock,1
royal,1
rule,1
scale,1
sea,1
sees,1
seven,1
she,1
she'll,1
should,1
show,1
sighting,1
signs,1
snake,1
speak,1
stag,1
started,1
step,1
sure,1
tear,1
tell,1
that's,1
them,1
there,1
there's,1
they,1
towards,1
trail,1
truth,1
uncertain,1
uncertainty,1
united,1
until,1
us,1
want,1
war,1
weak,1
when,1
will,1
wish,1
within,1
without,1
witnessed,1
woman,1
won't,1
years,1
yes,1
yet,1
yourself,1
