Word,Count
will,5
of,4
the,4
and,2
daemon,2
his,2
if,2
not,2
show,2
to,2
us,2
who,2
why,2
you,2
a,1
all,1
any,1
are,1
bloodstone,1
can,1
caves,1
circle,1
control,1
crabfeeder,1
crabs,1
death,1
dine,1
do,1
dragons,1
fall,1
go,1
happily,1
have,1
hell,1
here,1
i,1
into,1
is,1
king's,1
knight,1
landing,1
leave,1
lord,1
losing,1
madman,1
man,1
march,1
me,1
men,1
my,1
nephew,1
no,1
on,1
out,1
pit,1
reason,1
seize,1
should,1
sky,1
soon,1
support,1
that,1
they,1
this,1
those,1
until,1
war,1
we,1
which,1
yes,1
