Word,Count
the,21
to,16
a,10
i,8
of,8
you,8
we,7
is,6
and,5
that,5
your,5
are,4
as,4
from,4
it,4
me,4
take,4
want,4
what,4
but,3
for,3
her,3
one,3
our,3
who,3
aegon,2
be,2
brother,2
common,2
crown,2
dragon,2
four,2
fսck,2
fսcking,2
home,2
house,2
i'll,2
if,2
in,2
issa,2
king,2
my,2
need,2
oh,2
on,2
only,2
rhaenyra,2
rhaenyra's,2
stop,2
street,2
there,2
they,2
triarchy,2
wed,2
were,2
when,2
whοre,2
wife,2
will,2
woman,2
000,1
2,1
add,1
age,1
albijossa,1
am,1
anything,1
attempt,1
attention,1
aōhe,1
aōhon,1
before,1
believe,1
bratsiot,1
brāedāzmo,1
brоthеls,1
can,1
chair,1
charge,1
come,1
comforts,1
congratulations,1
conqueror,1
consequence,1
coppers,1
corsairs,1
could,1
crabs,1
daor,1
day,1
dead,1
did,1
didn't,1
discredit,1
does,1
doesn't,1
doing,1
don't,1
driftmark,1
duty,1
dāerēdoks,1
dēmalio,1
dīnakson,1
enjoyed,1
expect,1
find,1
follow,1
fսckеd,1
gaomagon,1
gaoso,1
get,1
give,1
gives,1
glaesagon,1
glaeson,1
glory,1
grace,1
great,1
grown,1
gō,1
hands,1
have,1
he,1
hegnīr,1
heir,1
hen,1
him,1
idle,1
idīnnon,1
iksos,1
imassitas,1
istas,1
it's,1
its,1
iā,1
jaelan,1
jest,1
jāhī,1
keso,1
kesy,1
king's,1
know,1
kostas,1
kostō,1
landing,1
last,1
law,1
like,1
lonely,1
lord,1
līr,1
male,1
man,1
many,1
marriage,1
matter,1
matured,1
might,1
most,1
mundāzma,1
mundāzmo,1
muñe,1
mērī,1
named,1
narrow,1
never,1
ng,1
not,1
nyke,1
nājumban,1
off,1
offered,1
once,1
ono,1
pay,1
people,1
pleasure,1
pleasures,1
princess,1
prisoner,1
proper,1
prospect,1
protection,1
qrinuntenko,1
rat,1
return,1
rule,1
rūs,1
said,1
sailed,1
sand,1
sea,1
second,1
see,1
she,1
should,1
silk,1
smallfolk,1
smashed,1
so,1
sold,1
some,1
staked,1
stay,1
stepstones,1
such,1
syt,1
taking,1
them,1
then,1
these,1
they're,1
things,1
thinks,1
those,1
through,1
tides,1
toliot,1
tolālŷti,1
tradition,1
true,1
truth,1
understand,1
up,1
us,1
used,1
verdilla,1
victory,1
vŷs,1
wait,1
warn,1
way,1
where,1
wish,1
word,1
worse,1
years,1
yes,1
yn,1
you'll,1
you've,1
yours,1
yourself,1
zūgose,1
ñuho,1
āzālilā,1
ēlio,1
ūbriljagon,1
