Word,Count
the,8
a,6
and,4
might,3
of,3
to,3
babe,2
be,2
bear,2
but,2
chair,2
daughter,2
girl,2
heir,2
his,2
it,2
or,2
rhaenyra,2
she,2
so,2
would,2
aegon,1
all,1
born,1
brother,1
bum,1
by,1
cannot,1
claim,1
cock,1
come,1
conqueror's,1
delight,1
feeble,1
for,1
good,1
great,1
has,1
he,1
her,1
him,1
iron,1
is,1
king,1
little,1
long,1
loved,1
make,1
matter,1
name,1
names,1
now,1
our,1
people,1
powerful,1
prince,1
princeling,1
queen,1
realm's,1
slight,1
then,1
things,1
though,1
three,1
two,1
we,1
which,1
who,1
whose,1
will,1
young,1
