Word,Count
the,16
your,13
grace,12
i,12
a,11
it,9
of,9
to,8
as,5
have,5
in,4
is,4
princess,4
was,4
you,4
and,3
from,3
her,3
his,3
must,3
were,3
with,3
an,2
but,2
discomforting,2
engaged,2
hand,2
has,2
he,2
hour,2
house,2
i'm,2
if,2
king,2
me,2
my,2
no,2
pleasure,2
tell,2
that,2
time,2
well,2
wish,2
absurdity,1
admitted,1
afraid,1
all,1
alliance,1
apologize,1
astray,1
before,1
behaviors,1
best,1
beyond,1
bowels,1
braavos,1
brother,1
carrying,1
cause,1
cities,1
concerns,1
considered,1
convenes,1
corlys,1
council,1
coupling,1
creeping,1
daemon,1
daughter,1
daughter's,1
day,1
den,1
discreetly,1
disguised,1
distress,1
disturbing,1
doesn't,1
don't,1
during,1
duty,1
early,1
easy,1
entered,1
evening,1
exploits,1
failed,1
father,1
for,1
free,1
further,1
gates,1
grim,1
had,1
hardly,1
he's,1
honor,1
how,1
information,1
intent,1
into,1
keep,1
king's,1
know,1
laena,1
landing,1
last,1
led,1
lord,1
love,1
loves,1
loyal,1
maiden,1
maintain,1
marriage,1
negotiations,1
never,1
news,1
nothing,1
now,1
oldtown,1
on,1
one,1
only,1
our,1
owl,1
own,1
pact,1
page,1
plans,1
queen,1
recall,1
rhaenyra,1
said,1
say,1
saying,1
sealord,1
sealord's,1
seeing,1
seek,1
seen,1
sent,1
servant,1
servants,1
several,1
shared,1
she,1
son,1
sorry,1
sources,1
spied,1
such,1
that's,1
then,1
they,1
thing,1
this,1
thought,1
through,1
together,1
too,1
true,1
trusted,1
truth,1
uh,1
unbecoming,1
uncle,1
velaryon,1
viewed,1
walls,1
we,1
wed,1
what,1
word,1
would,1
yet,1
