Word,Count
to,4
lady,3
am,2
are,2
for,2
good,2
i,2
in,2
rhea,2
was,2
you,2
your,2
a,1
accident,1
accusation,1
again,1
an,1
answer,1
anyone,1
be,1
better,1
care,1
challenge,1
character,1
company,1
congratulations,1
cousin,1
crimes,1
even,1
fine,1
fortune,1
gerold,1
grace,1
her,1
inheritance,1
is,1
it,1
kind,1
know,1
late,1
made,1
making,1
men,1
morrow,1
no,1
not,1
of,1
oh,1
order,1
princess,1
quarry,1
rabbit,1
rhaenyra,1
royce,1
runestone,1
seen,1
ser,1
some,1
soon,1
targaryens,1
than,1
the,1
their,1
today's,1
unique,1
vale,1
what,1
what's,1
wife,1
