Word,Count
the,13
i,11
you,8
and,6
be,6
to,6
grace,5
of,5
would,5
your,5
a,4
in,4
by,3
is,3
that,3
this,3
will,3
both,2
can,2
chair,2
could,2
do,2
have,2
her,2
house,2
lady,2
laenor,2
like,2
me,2
most,2
no,2
their,2
there,2
they,2
we,2
were,2
wish,2
with,2
accept,1
all,1
already,1
an,1
any,1
anyone,1
are,1
as,1
bedding,1
before,1
bent,1
born,1
brought,1
certain,1
challenge,1
children,1
claim,1
clarified,1
clarity,1
close,1
comely,1
compromise,1
congratulate,1
controls,1
crown,1
crushed,1
daemon's,1
details,1
did,1
dragons,1
edge,1
end,1
enough,1
equitable,1
error,1
familiar,1
father's,1
few,1
flatter,1
fool,1
for,1
generous,1
good,1
grown,1
half,1
hand,1
handled,1
happier,1
has,1
he,1
he's,1
him,1
honor,1
how,1
hunter,1
i'm,1
it,1
its,1
justice,1
keeping,1
king,1
kingdoms,1
knee,1
know,1
known,1
last,1
lord,1
lords,1
lyonel,1
man,1
may,1
means,1
meet,1
might,1
mind,1
minded,1
more,1
my,1
myself,1
name,1
navy,1
necessar,1
obeisance,1
offer,1
only,1
our,1
outgrow,1
overextended,1
passed,1
perhaps,1
pleasure,1
presume,1
pretenses,1
princess,1
proposal,1
pushed,1
queen,1
quite,1
realm,1
realm's,1
remedy,1
rhaenyra,1
rhaenyra's,1
rhaenys,1
rhea,1
rhea's,1
rider,1
rights,1
robbed,1
royce,1
seek,1
seem,1
seven,1
she's,1
should,1
skill,1
small,1
still,1
stop,1
succession,1
suited,1
sure,1
surprising,1
swore,1
take,1
taken,1
these,1
think,1
though,1
too,1
tradition,1
under,1
velaryons,1
was,1
welcome,1
well,1
westerosi,1
what,1
where,1
wife,1
woman,1
world,1
years,1
young,1
