Word,Count
the,12
of,7
you,7
is,6
ser,6
to,6
a,5
and,5
i,5
know,5
will,5
your,5
we,4
are,3
criston,3
don't,3
her,3
me,3
they,3
this,3
at,2
be,2
handsome,2
has,2
it,2
laenor,2
look,2
now,2
or,2
own,2
paramour,2
princess,2
she,2
all,1
always,1
as,1
battles,1
because,1
believe,1
betrothed,1
better,1
bloodied,1
both,1
bride's,1
but,1
call,1
cloak,1
cole,1
comes,1
consort,1
continue,1
could've,1
crown,1
cunt,1
day,1
dear,1
deeply,1
duck,1
each,1
feared,1
feast,1
for,1
free,1
fully,1
gives,1
good,1
goose,1
grace,1
guard,1
have,1
hers,1
him,1
his,1
hoped,1
i've,1
if,1
in,1
invested,1
joffrey,1
kept,1
king,1
kingdoms,1
kisses,1
knight,1
knows,1
leave,1
lonmouth,1
maidenhead,1
make,1
man,1
marry,1
match,1
need,1
other,1
partaking,1
protector,1
queen,1
quite,1
rhaenyra,1
safe,1
sea,1
secret,1
secrets,1
seven,1
should,1
so,1
struck,1
swear,1
sworn,1
than,1
that,1
their,1
them,1
then,1
thing,1
think,1
those,1
though,1
today,1
tournament,1
union,1
was,1
wear,1
white,1
who,1
why,1
with,1
woman,1
you'd,1
