Word,Count
to,5
a,3
my,3
prince,3
your,3
and,2
be,2
has,2
might,2
you,2
about,1
appear,1
arrival,1
await,1
breakfast,1
but,1
come,1
cousin,1
dashing,1
discover,1
dragonrider,1
dream,1
every,1
father,1
flatter,1
for,1
from,1
grace,1
grace's,1
had,1
hall,1
hastened,1
he,1
hear,1
high,1
his,1
i,1
is,1
journey,1
just,1
knight,1
lady,1
let,1
long,1
maiden's,1
me,1
nine,1
of,1
perhaps,1
remedy,1
returned,1
something,1
sorry,1
targaryen,1
that,1
the,1
tide,1
us,1
was,1
we,1
welcome,1
what,1
wife,1
young,1
