Word,Count
the,10
i,6
it,6
to,6
a,5
your,5
be,4
is,4
of,4
an,3
for,3
what,3
been,2
do,2
father,2
good,2
in,2
on,2
one,2
she,2
something,2
that,2
unwell,2
very,2
was,2
when,2
yet,2
ah,1
all,1
ally,1
among,1
and,1
as,1
at,1
banners,1
beacon,1
begging,1
bloom,1
braavos,1
by,1
calls,1
chambers,1
color,1
condition,1
could,1
dark,1
day,1
delivered,1
departure,1
did,1
direction,1
dismissed,1
error,1
example,1
father's,1
feels,1
glows,1
grace,1
grand,1
happiness,1
have,1
her,1
here,1
hightower,1
himself,1
hope,1
if,1
indeed,1
indigenous,1
injustice,1
instead,1
invited,1
it's,1
its,1
just,1
king,1
know,1
learns,1
maester,1
malvales,1
man,1
manner,1
may,1
mellos,1
mistaken,1
must,1
must've,1
mystery,1
natives,1
naturally,1
nature,1
need,1
never,1
news,1
night,1
not,1
now,1
observe,1
oh,1
oldtown,1
outsider,1
pardon,1
perhaps,1
princess,1
princess's,1
rare,1
realm,1
relied,1
relief,1
rhaenyra,1
rights,1
same,1
serious,1
she's,1
shouldn't,1
speak,1
still,1
such,1
tea,1
thought,1
thriving,1
um,1
understand,1
upon,1
war,1
well,1
wonder,1
wrong,1
yes,1
you,1
you're,1
