Word,Count
the,7
to,6
and,5
her,5
are,4
was,4
for,3
have,3
she,3
a,2
corlys,2
cousin,2
heirs,2
his,2
husband,2
i,2
in,2
is,2
it,2
not,2
that,2
true,2
will,2
you,2
aegon,1
at,1
be,1
because,1
bed,1
before,1
beg,1
behind,1
born,1
both,1
business,1
challenged,1
chose,1
coast,1
come,1
crown,1
cruel,1
crushed,1
daemon,1
danger,1
drag,1
end,1
fall,1
familiarity,1
from,1
gods,1
grew,1
hand,1
has,1
he,1
here,1
himself,1
horse,1
hunting,1
inherit,1
into,1
issue,1
king,1
knives,1
know,1
laenor's,1
me,1
mishap,1
my,1
myself,1
named,1
nature,1
neck,1
never,1
no,1
of,1
our,1
out,1
placing,1
power,1
pride,1
prince,1
put,1
readied,1
realm,1
rhaenyra,1
rhaenyra's,1
runestone,1
sad,1
sail,1
ship,1
skull,1
so,1
son,1
stood,1
succeed,1
succession,1
taken,1
targaryen,1
tempest,1
their,1
there,1
they,1
thing,1
this,1
thrown,1
together,1
undignified,1
up,1
viserys,1
walking,1
we,1
wealth,1
well,1
what,1
while,1
wore,1
would,1
