Word,Count
you,22
i,14
the,13
to,11
are,8
dracarys,7
of,7
have,6
in,6
my,6
we,6
your,6
a,5
not,5
was,5
and,4
be,4
but,4
do,4
has,4
more,4
than,4
born,3
daemon,3
excellence,3
here,3
if,3
one,3
our,3
that,3
their,3
this,3
us,3
want,3
at,2
claim,2
daughters,2
don't,2
dragon,2
for,2
is,2
it,2
know,2
lord,2
never,2
no,2
old,2
on,2
prince,2
same,2
vhagar,2
who,2
will,2
would,2
years,2
yourself,2
15,1
according,1
accounts,1
aim,1
alien,1
already,1
am,1
an,1
another,1
as,1
baela's,1
been,1
believe,1
belong,1
best,1
bind,1
birthright,1
blood,1
brother,1
cake,1
castle,1
child,1
city,1
considering,1
cook,1
country,1
crumbs,1
dead,1
death,1
delivered,1
detail,1
did,1
die,1
disappointed,1
does,1
doing,1
dragonlords,1
dragonrider's,1
driftmark,1
eight,1
end,1
eternally,1
extended,1
family,1
fat,1
father,1
father's,1
fighting,1
fortunate,1
guests,1
half,1
harder,1
hatch,1
he,1
he's,1
her,1
his,1
history,1
hold,1
home,1
homeland,1
instead,1
interest,1
into,1
it's,1
laenor,1
largest,1
laud,1
left,1
legacy,1
lesson,1
let,1
library,1
life,1
long,1
made,1
man,1
married,1
marry,1
me,1
might,1
minstrels,1
miss,1
mummers,1
must,1
now,1
offer,1
or,1
out,1
over,1
pain,1
peace,1
pentos,1
perhaps,1
play,1
pleasure,1
plum,1
raised,1
reading,1
reggio's,1
rhaenyra,1
ride,1
rider,1
right,1
road,1
said,1
seems,1
served,1
sleep,1
so,1
some,1
son,1
spared,1
spend,1
stay,1
sweetling,1
tell,1
them,1
there,1
there's,1
they,1
think,1
time,1
too,1
travelers,1
until,1
using,1
valyria,1
venture,1
virtues,1
visit,1
way,1
we've,1
where,1
which,1
whose,1
wife,1
wish,1
wished,1
with,1
without,1
world,1
would've,1
written,1
yet,1
