Word,Count
the,15
to,9
and,7
in,6
of,6
your,5
a,4
i,4
would,4
my,3
our,3
pentos,3
their,3
this,3
you,3
aegon,2
aid,2
as,2
cause,2
has,2
its,2
lys,2
triarchy,2
wish,2
with,2
again,1
against,1
aim,1
alliance,1
allies,1
along,1
annually,1
any,1
are,1
at,1
balerion,1
befits,1
before,1
blood,1
blows,1
brings,1
burned,1
business,1
century,1
city,1
come,1
common,1
conqueror,1
count,1
cup,1
deserving,1
did,1
dorne,1
dragon,1
dragons,1
enemy,1
exalted,1
excellent,1
eye,1
family,1
farms,1
fill,1
fleet,1
flew,1
forebear,1
four,1
freedom,1
from,1
future,1
gift,1
gratitude,1
great,1
harbor,1
have,1
he,1
hearts,1
here,1
honoring,1
is,1
it,1
joined,1
lady,1
laena,1
lamb,1
lands,1
lord,1
lustful,1
made,1
make,1
manse,1
martell,1
may,1
mayhaps,1
me,1
moment,1
myself,1
new,1
north,1
not,1
now,1
offer,1
on,1
once,1
outright,1
overflow,1
pay,1
permanent,1
proposal,1
protect,1
qoren,1
residence,1
rise,1
royal,1
ships,1
sights,1
so,1
some,1
spirit,1
station,1
storied,1
targaryen,1
tenants,1
then,1
they,1
three,1
thus,1
tide,1
toast,1
tributes,1
turn,1
turning,1
vineyard,1
volantis,1
we,1
who,1
will,1
wood,1
