Word,Count
to,3
prince,2
umbās,2
you,2
aegon,1
aegot,1
aeksio,1
any,1
ao,1
aoho,1
aot,1
as,1
bevilza,1
bound,1
call,1
darilaros,1
darilarot,1
dragon,1
from,1
fully,1
hae,1
has,1
heel,1
hmm,1
hold,1
instruction,1
jacaerys,1
kelīs,1
mastery,1
mmm,1
must,1
my,1
māzigon,1
nuhys,1
once,1
other,1
over,1
ozlettosy,1
princes,1
pālēs,1
refuse,1
rybagon,1
sagon,1
sunfyre,1
syt,1
sȳrī,1
take,1
tetiri,1
they,1
they're,1
toli,1
vermax,1
vindilza,1
vvsperzomy,1
will,1
with,1
young,1
your,1
zaldrizo,1
zijosy,1
zijot,1
zirylo,1
