Word,Count
i,11
the,10
it,6
your,6
a,5
is,5
of,5
to,5
be,4
that,4
again,3
what,3
will,3
and,2
boys,2
cole,2
have,2
lads,2
my,2
princess,2
say,2
this,2
when,2
you,2
about,1
affected,1
ah,1
all,1
an,1
applied,1
asleep,1
assailed,1
attention,1
because,1
best,1
better,1
bit,1
blindness,1
burn,1
but,1
by,1
can,1
city,1
commander,1
could,1
criston,1
cruelty,1
day,1
do,1
dragonpit,1
egg,1
enemies,1
enough,1
escort,1
every,1
fair,1
father,1
fire,1
foul,1
front,1
future,1
give,1
good,1
hands,1
hardly,1
he,1
heir,1
hmm,1
honor,1
i'll,1
in,1
insufferable,1
it's,1
jacaerys,1
joffrey,1
lack,1
laid,1
leaves,1
match,1
may,1
meet,1
merely,1
method,1
might,1
mine,1
mother,1
no,1
not,1
oh,1
on,1
only,1
opponent,1
play,1
prince,1
princess's,1
promise,1
pupils,1
quarter,1
respect,1
return,1
rivals,1
rumor,1
seems,1
ser,1
shame,1
similar,1
so,1
some,1
son,1
spun,1
steward,1
stranger,1
suggest,1
teach,1
terrible,1
that's,1
then,1
thought,1
throne,1
time,1
treachery,1
up,1
visit,1
watch,1
we,1
weaker,1
weapons,1
wish,1
with,1
you're,1
younger,1
