Word,Count
the,19
is,9
of,9
you,8
and,7
i,6
my,6
your,6
a,5
grace,5
it,5
harwin,4
have,4
his,4
in,4
that,4
to,4
with,4
for,3
he,3
king,3
me,3
not,3
shame,3
will,3
an,2
be,2
boy,2
eyes,2
house,2
kingsguard,2
knight,2
son,2
strong,2
there,2
this,2
would,2
yet,2
accept,1
accusations,1
alone,1
as,1
ask,1
assaulted,1
assumed,1
at,1
back,1
between,1
blindness,1
but,1
can,1
cannot,1
castle,1
child,1
children,1
come,1
court,1
crown,1
darker,1
day,1
death,1
defender,1
defense,1
disgraced,1
don't,1
duties,1
easy,1
enough,1
episode,1
escort,1
ever,1
every,1
exile,1
family,1
father,1
feel,1
fills,1
fishwife,1
flimsy,1
fool,1
forget,1
forgive,1
from,1
grows,1
hand,1
harren's,1
harrenhal,1
has,1
headsman,1
heir,1
her,1
him,1
himself,1
hope,1
if,1
insist,1
integrity,1
intimacy,1
kind,1
king's,1
laid,1
landing,1
leave,1
longer,1
lord,1
many,1
mean,1
morning,1
no,1
now,1
offense,1
on,1
one,1
open,1
our,1
over,1
people,1
play,1
position,1
prince,1
princess,1
publicly,1
resign,1
rhaenyra,1
seat,1
see,1
seems,1
ser,1
serve,1
shadow,1
shield,1
soon,1
speak,1
stands,1
take,1
tale,1
telling,1
then,1
these,1
time,1
today,1
towards,1
treachery,1
tyland,1
uglier,1
unrelenting,1
us,1
what,1
whole,1
willful,1
words,1
yard,1
years,1
yourself,1
