Word,Count
you,5
a,4
it,4
me,4
your,4
dohaeras,3
i,3
lykiri,3
vhagar,3
would,3
aegon,2
and,2
dragon,2
he,2
mother,2
my,2
our,2
she's,2
soves,2
to,2
was,2
again,1
an,1
as,1
at,1
attacked,1
bastards,1
betrothed,1
blood,1
but,1
can,1
claimed,1
come,1
cousins,1
dead,1
did,1
die,1
do,1
does,1
doesn't,1
duty,1
exchange,1
eye,1
fair,1
family,1
father,1
feed,1
find,1
flames,1
future,1
fսck,1
gained,1
had,1
has,1
have,1
her,1
i'll,1
if,1
in,1
it's,1
just,1
keep,1
know,1
lord,1
lost,1
may,1
maybe,1
mother's,1
mourn,1
new,1
not,1
now,1
only,1
perform,1
pig,1
pure,1
queen,1
ride,1
rider,1
screaming,1
should've,1
sister,1
strengthen,1
strong,1
suit,1
the,1
then,1
they,1
us,1
valyrian,1
will,1
yeah,1
