Word,Count
the,8
of,5
your,5
it,4
and,3
is,3
this,3
to,3
what,3
you,3
an,2
are,2
as,2
be,2
did,2
for,2
in,2
me,2
my,2
not,2
our,2
those,2
will,2
yours,2
a,1
act,1
already,1
at,1
back,1
best,1
birthright,1
blame,1
blood,1
both,1
boys,1
brief,1
brother,1
but,1
cast,1
ceremonies,1
council,1
councils,1
course,1
crown,1
daemon,1
darker,1
day,1
disinherit,1
does,1
endless,1
even,1
exists,1
fools,1
from,1
fսcking,1
gods,1
great,1
hall,1
happen,1
have,1
he,1
he'll,1
head,1
high,1
history,1
how,1
husband,1
if,1
it's,1
king,1
lad,1
legacy,1
let,1
life,1
little,1
looking,1
lord,1
lucerys,1
maesters,1
meaning,1
mortal,1
names,1
on,1
one,1
over,1
patron,1
pentos,1
place,1
plucked,1
pursuit,1
remember,1
remembers,1
retrieve,1
rules,1
sea,1
seat,1
shadow,1
sit,1
son,1
such,1
surgeons,1
tell,1
terrible,1
than,1
thing,1
thought,1
tide,1
tides,1
trained,1
until,1
was,1
well,1
win,1
wish,1
would,1
