Word,Count
the,7
you,6
to,5
what,5
and,4
i,4
that,4
for,3
now,3
your,3
a,2
has,2
he,2
in,2
is,2
my,2
see,2
side,2
time,2
aemond,1
alicent,1
all,1
an,1
be,1
bed,1
blade,1
boy,1
can,1
daughter,1
determination,1
do,1
done,1
doubted,1
else,1
even,1
existence,1
first,1
forgive,1
game,1
get,1
go,1
grip,1
have,1
he'll,1
her,1
him,1
i'm,1
i've,1
injury,1
it,1
it's,1
its,1
keep,1
king's,1
loss,1
never,1
of,1
on,1
our,1
paid,1
passions,1
penitent,1
piece,1
play,1
plead,1
prevail,1
price,1
prince,1
promise,1
release,1
right,1
rogue,1
seen,1
she,1
son,1
sorry,1
stubbornness,1
thousand,1
times,1
together,1
true,1
ugly,1
vhagar,1
was,1
we,1
will,1
win,1
winning,1
worth,1
wrought,1
yet,1
