Word,Count
the,8
for,6
you,6
are,5
is,5
it,5
of,5
to,5
your,5
we,4
will,4
laena's,3
not,3
our,3
what,3
a,2
all,2
and,2
baela,2
be,2
blood,2
children,2
daemon,2
happened,2
he,2
her,2
here,2
husband,2
i,2
legacy,2
no,2
now,2
thank,2
that,2
this,2
throne,2
us,2
abandon,1
ago,1
alone,1
ambition,1
as,1
aside,1
at,1
best,1
both,1
but,1
can,1
come,1
consort,1
corlys,1
cost,1
crown,1
day,1
declare,1
denied,1
desire,1
does,1
driftmark,1
drives,1
even,1
ever,1
falsehood,1
gathered,1
gave,1
generation,1
gods,1
have,1
his,1
home,1
honor,1
house,1
how,1
idea,1
if,1
insatiable,1
iron,1
justice,1
king,1
know,1
laena,1
lay,1
let,1
life,1
line,1
live,1
lord,1
maesters,1
may,1
mayhaps,1
memory,1
needed,1
nights,1
one,1
only,1
own,1
pass,1
plain,1
pride,1
pursuit,1
refuses,1
rhaena,1
rhaenyra's,1
say,1
scions,1
scorned,1
she,1
sit,1
son,1
speak,1
then,1
they,1
through,1
tis,1
tonight,1
true,1
truth,1
up,1
velaryon,1
want,1
wanted,1
wearing,1
while,1
who,1
why,1
wife,1
yourself,1
