Word,Count
i,13
you,9
our,5
to,5
but,4
have,4
in,4
the,4
and,3
not,3
all,2
are,2
as,2
been,2
could,2
defend,2
deserve,2
do,2
for,2
gods,2
my,2
them,2
there,2
we,2
will,2
a,1
ago,1
agony,1
an,1
arrangement,1
ascension,1
be,1
better,1
boys,1
cannot,1
dear,1
deeply,1
did,1
dreadful,1
duty,1
enemies,1
enough,1
everyone,1
exist,1
explore,1
failed,1
far,1
father's,1
fighting,1
forget,1
fought,1
from,1
hall,1
happiness,1
hate,1
here,1
home,1
house,1
husband,1
is,1
let,1
love,1
loved,1
made,1
making,1
marriage,1
mayhaps,1
me,1
mutually,1
myself,1
of,1
prepare,1
princes,1
qarl,1
raise,1
realm,1
recommit,1
return,1
rhaenyra,1
right,1
ser,1
should've,1
sister,1
sons,1
soon,1
stepstones,1
strengthening,1
than,1
these,1
they,1
things,1
think,1
those,1
times,1
tried,1
what,1
when,1
who,1
why,1
years,1
yet,1
your,1
yourself,1
