Word,Count
to,9
i,6
it,6
you,6
is,5
and,3
done,3
well,3
what,3
all,2
ask,2
be,2
but,2
do,2
for,2
get,2
hmm,2
know,2
so,2
the,2
try,2
a,1
about,1
act,1
are,1
as,1
asked,1
assume,1
at,1
cock,1
did,1
didn't,1
disappointment,1
enough,1
ever,1
everything,1
father,1
finally,1
fun,1
go,1
happened,1
hard,1
harmless,1
has,1
have,1
how,1
i've,1
if,1
in,1
jace,1
just,1
least,1
lie,1
me,1
mother,1
need,1
never,1
not,1
oh,1
or,1
principle,1
put,1
regret,1
satisfied,1
she,1
something,1
soon,1
suffer,1
that,1
this,1
today,1
um,1
upset,1
was,1
where,1
why,1
will,1
wish,1
with,1
woman,1
you'll,1
you've,1
your,1
