Word,Count
the,32
of,19
my,16
and,15
i,13
to,10
you,10
house,8
it,8
not,7
a,6
as,6
blood,6
is,6
lord,6
velaryon,6
will,6
has,5
on,5
your,5
be,4
but,4
driftmark,4
his,4
no,4
this,4
all,3
by,3
have,3
in,3
mine,3
our,3
queen,3
their,3
who,3
am,2
ambition,2
brother,2
brother's,2
calamity,2
closest,2
days,2
do,2
doom,2
for,2
future,2
good,2
hand,2
her,2
history,2
houses,2
it's,2
kin,2
know,2
line,2
may,2
name,2
only,2
own,2
ruled,2
seat,2
see,2
she,2
survival,2
take,2
that,2
throne,2
tides,2
true,2
valyria,2
veins,2
we,2
what,2
yet,2
about,1
above,1
absence,1
account,1
after,1
age,1
allow,1
are,1
bastards,1
became,1
before,1
besides,1
beyond,1
bloodlines,1
books,1
break,1
brought,1
came,1
cares,1
centuries,1
certainly,1
children,1
continuation,1
corlys's,1
could,1
crown,1
cut,1
damned,1
dare,1
daughter,1
death,1
debt,1
decide,1
deeply,1
defending,1
deserves,1
doubt,1
down,1
driftwood,1
end,1
ended,1
entire,1
extends,1
fail,1
fell,1
fever,1
find,1
fit,1
forebearers,1
gods,1
gone,1
grace,1
greet,1
half,1
he,1
heir,1
him,1
honest,1
humbly,1
husband,1
inherit,1
install,1
iron,1
its,1
kind,1
king,1
kingdoms,1
knowing,1
land,1
last,1
law,1
left,1
life,1
like,1
long,1
love,1
man,1
matter,1
me,1
mean,1
men,1
must,1
myself,1
need,1
nephew,1
new,1
next,1
noble,1
old,1
ourselves,1
out,1
overcome,1
passes,1
place,1
presides,1
princess,1
pups,1
put,1
reason,1
recognize,1
rhaenys,1
rights,1
run,1
runs,1
sea,1
seas,1
seen,1
seven,1
shifted,1
ship,1
should,1
show,1
side,1
sister,1
sits,1
skies,1
snake's,1
snuffed,1
speak,1
spent,1
still,1
strength,1
strong,1
successor,1
supplanted,1
support,1
survived,1
targaryen,1
tell,1
these,1
they,1
thousand,1
through,1
tradition,1
tribulations,1
truth,1
unimpeachable,1
us,1
were,1
when,1
while,1
whose,1
whοre,1
winds,1
with,1
would,1
wouldn't,1
yours,1
