Word,Count
the,32
you,25
to,17
i,16
and,14
of,14
on,10
your,10
it,9
what,9
is,8
we,8
for,7
my,7
that,7
a,6
be,6
me,6
have,5
him,5
in,5
this,5
were,5
are,4
believe,4
do,4
know,4
may,4
might,4
must,4
not,4
our,4
prince,4
princess,4
rhaenyra,4
ser,4
with,4
aegon,3
come,3
dyana,3
girl,3
king,3
like,3
love,3
understand,3
will,3
would,3
about,2
been,2
before,2
but,2
can,2
certain,2
course,2
down,2
else,2
father,2
get,2
gods,2
has,2
hear,2
if,2
just,2
long,2
maesters,2
make,2
mine,2
name,2
no,2
now,2
oh,2
one,2
only,2
others,2
pain,2
petition,2
please,2
remind,2
saw,2
say,2
since,2
so,2
son,2
subjects,2
thank,2
that's,2
think,2
today,2
up,2
us,2
vaemond,2
well,2
you've,2
yourself,2
accounting,1
accusations,1
act,1
advice,1
aemond,1
against,1
all,1
allow,1
allowing,1
almost,1
alone,1
along,1
an,1
anyone,1
apologies,1
arrived,1
arryk,1
as,1
assured,1
at,1
authority,1
beesbury,1
beg,1
begin,1
besmirch,1
best,1
between,1
blame,1
blind,1
bonds,1
both,1
broken,1
call,1
carrying,1
chance,1
children,1
claimants,1
cold,1
commands,1
common,1
company,1
condition,1
confess,1
considerable,1
courtesy,1
cup,1
daemon,1
dark,1
day,1
deeply,1
don't,1
done,1
emblems,1
enough,1
enticed,1
erryk,1
especially,1
exhaustive,1
far,1
fault,1
fine,1
first,1
fleeing,1
forget,1
found,1
from,1
gathering,1
girls,1
give,1
graciousness,1
granted,1
greet,1
guards,1
guests,1
guide,1
hand,1
hand's,1
happened,1
happens,1
he,1
heard,1
here,1
higher,1
his,1
house,1
how,1
hurled,1
interest,1
it'll,1
it's,1
joy,1
keep,1
king's,1
last,1
live,1
lord,1
lords,1
mend,1
mere,1
more,1
morrow,1
mother,1
mothers,1
moves,1
need,1
or,1
other,1
own,1
pardon,1
path,1
people,1
place,1
prayer,1
presence,1
pretty,1
queen,1
raise,1
realm,1
rest,1
rhaenyra's,1
room,1
rule,1
sake,1
see,1
sent,1
serve,1
serving,1
seven,1
shall,1
shame,1
sit,1
smile,1
smith,1
some,1
something,1
sometimes,1
sort,1
stewards,1
such,1
suffering,1
sweetling,1
take,1
talya,1
tell,1
telling,1
than,1
these,1
they,1
thing,1
those,1
though,1
told,1
too,1
trouble,1
troubles,1
true,1
trusting,1
trying,1
two,1
uncertain,1
uneasiness,1
unite,1
velaryon,1
viserys,1
viserys's,1
wait,1
wasn't,1
whatever,1
why,1
wife,1
wisdom,1
without,1
won't,1
worry,1
worse,1
worsened,1
yet,1
you're,1
