Word,Count
the,203
to,119
i,106
you,101
of,90
and,89
my,69
it,66
your,54
is,51
a,50
be,37
for,36
in,35
that,33
not,32
on,30
this,28
will,28
his,27
me,27
no,27
what,27
we,26
but,25
has,25
have,25
as,24
if,21
lord,21
do,19
he,19
with,18
him,16
velaryon,16
all,15
grace,15
house,15
must,15
our,15
driftmark,14
prince,14
princess,14
so,14
was,14
are,13
it's,13
king,13
may,13
us,13
father,12
i'm,12
would,12
by,11
her,11
know,11
oh,11
one,11
see,11
ser,11
well,11
come,10
jace,10
own,10
rhaenyra,10
about,9
at,9
been,9
believe,9
can,9
drāñot,9
like,9
love,9
only,9
queen,9
she,9
son,9
throne,9
vaemond,9
who,9
yes,9
aegon,8
blood,8
did,8
good,8
heir,8
here,8
let,8
lucerys,8
matter,8
might,8
name,8
their,8
they,8
true,8
wish,8
yet,8
children,7
could,7
daemon,7
done,7
hear,7
hmm,7
just,7
maester,7
more,7
now,7
or,7
realm,7
strong,7
than,7
were,7
an,6
baela,6
brother,6
does,6
enough,6
hand,6
long,6
mine,6
rhaena,6
sorry,6
speak,6
yourself,6
am,5
crown,5
dyana,5
from,5
go,5
how,5
indeed,5
keep,5
mother,5
say,5
sea,5
seems,5
she's,5
targaryen,5
think,5
tides,5
viserys,5
when,5
which,5
years,5
alicent,4
back,4
before,4
both,4
claim,4
corlys,4
don't,4
fine,4
first,4
get,4
hold,4
into,4
its,4
king's,4
laenor,4
luke,4
maesters,4
need,4
other,4
please,4
put,4
said,4
saw,4
seen,4
seven,4
should,4
since,4
take,4
tea,4
then,4
these,4
though,4
today,4
told,4
tongue,4
um,4
understand,4
want,4
why,4
you've,4
act,3
again,3
against,3
allow,3
alone,3
ambition,3
anyone,3
best,3
brought,3
cares,3
common,3
corlys's,3
course,3
court,3
days,3
death,3
down,3
dream,3
driftwood,3
each,3
else,3
ever,3
future,3
girl,3
gods,3
great,3
had,3
happened,3
honor,3
houses,3
husband,3
kingdoms,3
last,3
life,3
line,3
longer,3
made,3
make,3
marry,3
men,3
morrow,3
