Word,Count
you,9
and,8
the,7
drāñot,6
i,5
come,4
to,4
your,4
be,3
on,3
that,3
a,2
aegon,2
at,2
but,2
have,2
his,2
it,2
jace,2
no,2
of,2
oh,2
prince,2
should,2
we,2
aemond,1
again,1
allies,1
almost,1
army,1
as,1
before,1
betrothed,1
blackwater,1
can,1
conqueror,1
could,1
criston's,1
dare,1
dear,1
doesn't,1
each,1
end,1
exactly,1
excuse,1
family's,1
fond,1
forbears,1
friends,1
going,1
good,1
great,1
head,1
health,1
here,1
hold,1
honor,1
hope,1
if,1
in,1
jester,1
joffrey,1
keep,1
killed,1
king,1
knew,1
landed,1
looks,1
luke,1
maester,1
matter,1
may,1
me,1
memories,1
men,1
morningstar,1
mouth,1
my,1
not,1
off,1
ordered,1
other,1
our,1
own,1
play,1
problem,1
rush,1
sailed,1
same,1
say,1
see,1
seen,1
shared,1
sisters,1
still,1
swing,1
they,1
think,1
this,1
thought,1
told,1
tongue,1
took,1
traditions,1
trees,1
uncles,1
want,1
what,1
what's,1
wish,1
with,1
would,1
yeah,1
years,1
yet,1
youth,1
