Word,Count
the,175
to,105
you,93
of,79
i,76
and,62
is,60
your,59
it,42
a,40
his,40
he,37
be,36
me,34
no,34
not,34
will,34
for,33
my,30
this,30
have,28
in,27
that,26
aegon,22
king,22
are,21
with,21
lord,20
on,20
we,20
as,19
him,19
what,19
but,17
one,17
here,16
there,16
was,16
has,15
our,15
let,14
do,13
her,13
must,13
who,13
may,12
now,12
know,11
queen,11
ser,11
way,11
an,10
come,10
father,10
go,10
prince,10
take,10
wish,10
hand,9
if,9
princess,9
them,9
all,8
am,8
could,8
grace,8
never,8
she,8
should,8
son,8
then,8
throne,8
us,8
years,8
dead,7
find,7
more,7
or,7
they,7
where,7
at,6
away,6
been,6
city,6
criston,6
found,6
get,6
keep,6
king's,6
long,6
mother,6
out,6
rhaenyra,6
sword,6
well,6
aegon's,5
brother,5
by,5
commander,5
erryk,5
from,5
good,5
house,5
husband,5
knows,5
last,5
look,5
make,5
many,5
only,5
see,5
seven,5
true,5
viserys,5
without,5
you've,5
alone,4
can,4
daughter,4
day,4
did,4
done,4
down,4
duty,4
given,4
halt,4
hear,4
heir,4
how,4
kingdoms,4
left,4
men,4
move,4
name,4
new,4
night,4
own,4
people,4
place,4
right,4
rule,4
sent,4
than,4
that's,4
want,4
were,4
white,4
witness,4
yes,4
yet,4
yourself,4
any,3
assume,3
authority,3
believe,3
cole,3
crown,3
daemon,3
days,3
desire,3
dragon,3
end,3
final,3
first,3
friend,3
going,3
gone,3
he's,3
hour,3
i'd,3
i'll,3
into,3
iron,3
it's,3
leave,3
like,3
little,3
live,3
looking,3
love,3
mind,3
moving,3
none,3
oath,3
price,3
put,3
realm,3
remain,3
remember,3
sacrifice,3
said,3
say,3
ship,3
swore,3
sworn,3
tell,3
think,3
those,3
thought,3
time,3
trust,3
truth,3
understand,3
until,3
when,3
where's,3
which,3
word,3
worm,3
would,3
you'll,3
20,2
about,2
advantage,2
ago,2
allies,2
another,2
banners,2
battle,2
because,2
beesbury,2
before,2
bend,2
best,2
both,2
bottom,2
breath,2
brought,2
cannot,2
case,2
changed,2
claim,2
cloaks,2
companion,2
conqueror,2
consider,2
course,2
debt,2
desired,2
doings,2
doors,2
dragonstone,2
driftmark,2
earlier,2
else,2
enough,2
even,2
ever,2
everything,2
family,2
fate,2
fight,2
firstborn,2
fit,2
flea,2
forward,2
free,2
gate,2
give,2
gold,2
grandfather,2
guard,2
had,2
happened,2
hearts,2
help,2
hey,2
hope,2
hours,2
huh,2
i'm,2
imposter,2
impressed,2
install,2
its,2
kingsguard,2
knee,2
knights,2
known,2
lady,2
landing,2
larys,2
late,2
least,2
listen,2
lived,2
lives,2
loved,2
loyalty,2
made,2
man,2
matter,2
mean,2
meaning,2
most,2
much,2
murder,2
need,2
oh,2
old,2
once,2
open,2
other,2
past,2
peace,2
peaceful,2
proceed,2
protect,2
rather,2
reason,2
remove,2
removed,2
replace,2
return,2
rhaenyra's,2
secretly,2
seek,2
servants,2
service,2
silk,2
sit,2
six,2
so,2
some,2
something,2
speak,2
street,2
strength,2
succeed,2
such,2
support,2
sure,2
swear,2
taken,2
talya,2
targaryen,2
taste,2
terms,2
their,2
these,2
though,2
toil,2
tolerated,2
treat,2
turn,2
unsavory,2
upon,2
very,2
wager,2
wall,2
walls,2
wanted,2
we'll,2
weaver,2
whatever,2
whispered,2
wisdom,2
within,2
won't,2
words,2
you're,2
yours,2
13th,1
abandoned,1
accede,1
accept,1
accord,1
accounts,1
accusing,1
advantageous,1
aemond,1
again,1
alicent,1
alive,1
allied,1
allow,1
allowed,1
along,1
also,1
always,1
amended,1
among,1
ancient,1
andals,1
anointed,1
answer,1
anyone,1
anything,1
argument,1
arms,1
arryk,1
ascent,1
aside,1
ask,1
asked,1
assuming,1
assurance,1
awaits,1
bear,1
beast,1
bees,1
begging,1
behind,1
believed,1
bell,1
beloved,1
beneath,1
benefit,1
birthright,1
bit,1
blackfyre,1
blackwater's,1
blade,1
blessing,1
blood,1
bloodshed,1
board,1
boards,1
boldness,1
borros,1
boy's,1
breaker,1
bribes,1
bring,1
business,1
buyers,1
callousness,1
came,1
can't,1
captains,1
care,1
carry,1
cast,1
castle,1
ceremony,1
certain,1
challenger,1
chamber,1
charming,1
chart,1
childhood,1
children,1
chosen,1
clean,1
cloak,1
comes,1
concern,1
condolences,1
confer,1
confessor,1
consequence,1
considerable,1
content,1
contest,1
correct,1
cost,1
council,1
counsel,1
country,1
counts,1
courage,1
courtesy,1
cousin,1
crave,1
credit,1
crone,1
cruelty,1
cuckolded,1
darkling,1
daughter's,1
daughters,1
dawn,1
dear,1
dearest,1
death,1
deathbed,1
decency,1
decent,1
declaring,1
defend,1
delicate,1
deliver,1
deny,1
depends,1
depravity,1
describe,1
desperate,1
destroy,1
destruction,1
didn't,1
die,1
died,1
dies,1
differences,1
disappeared,1
discretion,1
discriminating,1
discussed,1
dithering,1
divided,1
does,1
don't,1
door,1
dorne,1
dragonpit,1
draw,1
dress,1
drinking,1
due,1
dying,1
easily,1
educated,1
either,1
ensue,1
ensure,1
essence,1
establishment,1
evades,1
every,1
exalted,1
expect,1
expertise,1
exploits,1
eyes,1
fact,1
fail,1
falls,1
father's,1
faults,1
fealty,1
feed,1
feel,1
fell,1
few,1
fickle,1
file,1
fine,1
finish,1
flee,1
fleeing,1
fly,1
follow,1
forced,1
forfeit,1
forgive,1
former,1
formidable,1
fortune,1
four,1
freely,1
frequent,1
fruit,1
full,1
further,1
future,1
gained,1
game,1
gates,1
generations,1
gently,1
gift,1
granddaughters,1
grandson,1
grasps,1
grateful,1
great,1
grieve,1
grievously,1
grow,1
grown,1
guards,1
guide,1
habits,1
hail,1
half,1
handmaiden,1
hands,1
happy,1
hardly,1
hasn't,1
head,1
heard,1
heedlessly,1
heirs,1
helaena,1
highgarden,1
hightower,1
histories,1
history,1
hmm,1
hold,1
hoping,1
hundreds,1
hunt,1
husband's,1
i've,1
ignored,1
image,1
imagined,1
imbecile,1
impossible,1
impress,1
imprison,1
imprisoned,1
including,1
inquire,1
instead,1
insult,1
insults,1
intend,1
intention,1
interest,1
invaded,1
invites,1
isn't,1
itself,1
joyous,1
just,1
justice,1
keeps,1
kill,1
killed,1
knowing,1
lack,1
laid,1
lamp,1
landed,1
lannister,1
largest,1
lead,1
leaving,1
lend,1
less,1
let's,1
lift,1
light,1
lights,1
line,1
lips,1
living,1
longer,1
lords,1
loyal,1
luck,1
lyman,1
m'lords,1
makes,1
mass,1
meet,1
meleys,1
members,1
mercenaries,1
mercy,1
misplaced,1
mistaken,1
mistress,1
mmm,1
moment,1
morning,1
mortally,1
mother's,1
moved,1
mysterious,1
nails,1
named,1
namesake,1
needs,1
negotiate,1
news,1
next,1
nor,1
number,1
obeisance,1
obscenity,1
onion,1
onward,1
opportunity,1
order,1
others,1
otherwise,1
outrage,1
outside,1
overmatched,1
paid,1
pardon,1
part,1
pass,1
passed,1
passing,1
patron,1
pay,1
peel,1
pentos,1
perhaps,1
persuaded,1
philosophy,1
phrase,1
piece,1
plan,1
planning,1
plans,1
played,1
pledge,1
plot,1
plots,1
plotting,1
possesses,1
pouch,1
power,1
present,1
presumes,1
previously,1
prince's,1
prison,1
privilege,1
prize,1
proclivities,1
proposal,1
protector,1
proved,1
publicly,1
purpose,1
quick,1
quite,1
ravens,1
recently,1
recognize,1
red,1
regicide,1
regret,1
regrets,1
reject,1
relied,1
reluctance,1
remains,1
returning,1
reverence,1
rhaenys,1
rhoynar,1
rides,1
ring,1
ripen,1
riverfront,1
riverrun,1
room,1
rooms,1
royal,1
saddest,1
safe,1
safekeeping,1
safely,1
sail,1
sake,1
savage,1
saw,1
schemes,1
search,1
second,1
secrete,1
secrets,1
secure,1
seeking,1
seems,1
seen,1
seizure,1
send,1
seventy,1
shall,1
shame,1
she'll,1
shield,1
shining,1
should've,1
shown,1
shut,1
silver,1
simple,1
simply,1
sincerest,1
sister,1
small,1
smith,1
sold,1
soldier,1
sometime,1
somewhere,1
soul,1
south,1
sovereign,1
spends,1
spent,1
spiders,1
spies,1
spirit,1
spoken,1
squeamishness,1
stability,1
stand,1
stay,1
steadfastly,1
still,1
stinking,1
stop,1
storm's,1
strike,1
studies,1
study,1
succession,1
suffer,1
suggest,1
suited,1
sully,1
table,1
task,1
tastes,1
teeth,1
temperament,1
tempted,1
ten,1
theft,1
there's,1
they'll,1
they're,1
thing,1
thoughts,1
threads,1
through,1
throw,1
ti,1
tis,1
today,1
told,1
tomorrow,1
tongue,1
toward,1
toy,1
trade,1
trains,1
travels,1
trawling,1
treachery,1
treason,1
treasury,1
treatment,1
truly,1
trusted,1
try,1
tsk,1
tucked,1
two,1
um,1
understood,1
unfit,1
unmarried,1
upheld,1
urgency,1
use,1
usurping,1
uttered,1
velaryon,1
violence,1
waited,1
waiting,1
war,1
wares,1
warning,1
warrior,1
wasp,1
wastrel,1
watch,1
watches,1
we've,1
weakness,1
web,1
welcome,1
westerling,1
wet,1
what's,1
wheelhouse,1
whereabouts,1
whether,1
who'll,1
who's,1
whole,1
why,1
willing,1
window,1
wiser,1
wished,1
wishes,1
woman,1
wonder,1
work,1
world,1
worse,1
would've,1
wouldn't,1
wounded,1
yeah,1
yi,1
young,1
younger,1
