Word,Count
the,11
it,6
your,6
in,4
is,4
of,4
you,4
there,3
to,3
a,2
at,2
be,2
father,2
for,2
found,2
grace,2
hand,2
has,2
i,2
know,2
more,2
my,2
not,2
one,2
out,2
that,2
those,2
advantage,1
advantageous,1
aegon,1
all,1
along,1
are,1
asked,1
bees,1
begging,1
benefit,1
but,1
could,1
destroy,1
dies,1
do,1
doings,1
done,1
duty,1
end,1
even,1
feed,1
first,1
fleeing,1
fly,1
from,1
gate,1
have,1
he,1
head,1
her,1
his,1
hours,1
how,1
i'd,1
i've,1
if,1
its,1
keep,1
knows,1
lady,1
left,1
like,1
little,1
lord,1
must,1
news,1
no,1
number,1
once,1
only,1
our,1
pardon,1
phrase,1
place,1
princess,1
proved,1
purpose,1
queen,1
reason,1
red,1
should,1
something,1
spiders,1
spies,1
taken,1
than,1
their,1
there's,1
this,1
threads,1
travels,1
turn,1
um,1
wager,1
waiting,1
warning,1
was,1
way,1
weaver,1
web,1
when,1
will,1
willing,1
wish,1
without,1
wonder,1
work,1
yourself,1
