Word,Count
the,16
to,8
i,7
is,6
your,6
of,5
not,4
aegon,3
has,3
prince,3
that,3
we,3
what,3
a,2
be,2
been,2
down,2
for,2
grace,2
he,2
here,2
hope,2
huh,2
in,2
let,2
queen,2
will,2
you,2
aegon's,1
an,1
are,1
as,1
awaits,1
bear,1
brother,1
but,1
case,1
castle,1
city,1
companion,1
conqueror,1
crown,1
delicate,1
discretion,1
do,1
don't,1
drinking,1
earlier,1
erryk,1
establishment,1
every,1
fail,1
father,1
find,1
fine,1
follow,1
found,1
freely,1
friend,1
generations,1
given,1
heir,1
her,1
him,1
his,1
image,1
inquire,1
insults,1
into,1
iron,1
it,1
king,1
know,1
knowing,1
last,1
man,1
matter,1
may,1
meaning,1
misplaced,1
more,1
mother,1
mother's,1
my,1
night,1
others,1
our,1
passed,1
past,1
patron,1
perhaps,1
recently,1
regret,1
reverence,1
sake,1
see,1
seek,1
sent,1
ser,1
seven,1
sit,1
sometime,1
spoken,1
suffer,1
targaryen,1
this,1
thought,1
throne,1
through,1
toil,1
trade,1
true,1
trust,1
us,1
walls,1
where's,1
whereabouts,1
with,1
within,1
witness,1
woman,1
young,1
