Word,Count
i,6
of,5
the,5
is,4
it,4
this,4
you,4
and,3
have,3
not,3
that,3
to,3
will,3
all,2
at,2
he,2
his,2
was,2
with,2
a,1
accord,1
accounts,1
alone,1
am,1
an,1
any,1
are,1
as,1
believe,1
boy's,1
by,1
can,1
care,1
chosen,1
deathbed,1
died,1
fealty,1
hear,1
heir,1
here,1
hundreds,1
imposter,1
king,1
king's,1
knights,1
known,1
landed,1
last,1
least,1
longer,1
lords,1
mother,1
night,1
no,1
old,1
on,1
one,1
only,1
or,1
own,1
part,1
plotting,1
princess,1
replace,1
said,1
seizure,1
seventy,1
sit,1
six,1
swear,1
swore,1
table,1
than,1
theft,1
treason,1
viserys,1
well,1
whether,1
which,1
who,1
witness,1
years,1
