Word,Count
the,8
way,6
of,5
you,5
and,4
he,4
i,4
me,4
my,4
this,4
a,3
for,3
lord,3
out,3
do,2
find,2
gone,2
have,2
know,2
many,2
no,2
not,2
now,2
price,2
princess,2
them,2
they,2
you've,2
your,2
about,1
aegon,1
arryk,1
authority,1
away,1
because,1
before,1
believe,1
blackwater's,1
buyers,1
cannot,1
city,1
come,1
consider,1
deliver,1
duty,1
evades,1
everything,1
expect,1
exploits,1
file,1
forgive,1
formidable,1
gates,1
get,1
grow,1
hand,1
here,1
him,1
his,1
i'd,1
impossible,1
in,1
into,1
is,1
it,1
just,1
keep,1
king's,1
left,1
let,1
listen,1
make,1
makes,1
may,1
more,1
must,1
nails,1
night,1
one,1
order,1
past,1
place,1
prince,1
riverfront,1
say,1
secretly,1
see,1
seen,1
she,1
ship,1
should,1
sold,1
south,1
spends,1
stand,1
sworn,1
teeth,1
ten,1
their,1
then,1
there,1
they'll,1
to,1
treachery,1
wager,1
wares,1
was,1
we'll,1
what,1
with,1
won't,1
years,1
you'll,1
