Word,Count
of,5
the,5
is,4
an,2
be,2
his,2
may,2
not,2
now,2
our,2
that,2
them,2
was,2
we,2
what,2
20,1
ago,1
all,1
allies,1
and,1
assume,1
assurance,1
blessing,1
borros,1
but,1
concern,1
could,1
daughters,1
dead,1
divided,1
do,1
dorne,1
end,1
firstborn,1
for,1
four,1
full,1
gold,1
grace,1
hand,1
hardly,1
has,1
have,1
he,1
highgarden,1
hour,1
imposter,1
in,1
invaded,1
it,1
laid,1
let,1
long,1
lord,1
loyalty,1
most,1
on,1
plans,1
proceed,1
proposal,1
ravens,1
right,1
riverrun,1
safekeeping,1
sent,1
some,1
son,1
storm's,1
suggest,1
then,1
to,1
treasury,1
unmarried,1
waited,1
well,1
will,1
with,1
years,1
you,1
your,1
